,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Cuiabá,34.0,Avaí,1.489183218022843,1.0588596335091953,46.63,26.9,26.46,25.86,14.58,8.13,33.99,22.71,56.7
1,Corinthians,34.0,Fluminense,1.2621407557984554,1.0952230313009959,40.73,31.66,27.61,23.85,18.64,9.2,33.05,27.84,60.89
2,Botafogo,34.0,Bragantino,1.3423831491915597,1.122587777980958,41.57,31.16,27.27,24.27,17.74,8.49,32.76,26.229999999999997,58.989999999999995
3,Atlético-MG,34.0,Juventude,1.8271135205671034,1.1465889658323896,53.22,23.55,23.23,26.66,10.88,5.2,31.86,16.080000000000002,47.94
4,Athletico-PR,34.0,Palmeiras,1.172526742994385,1.3296535193726666,32.31,40.35,27.34,18.32,22.8,8.32,26.64,31.12,57.760000000000005
5,Goiás,34.0,América-MG,1.3313648786720451,1.1700128375949361,40.28,32.71,27.01,22.89,18.14,8.08,30.97,26.22,57.19
6,São Paulo,34.0,Atlético-GO,1.5386667989016545,1.293413669863304,43.25,31.85,24.9,21.7,15.26,5.73,27.43,20.990000000000002,48.42
7,Internacional,34.0,Ceará,1.4961254434767293,1.3323464509617589,41.47,33.51,25.02,20.93,15.97,5.7,26.63,21.67,48.3
8,Fortaleza,34.0,Coritiba,1.6171311916331337,1.3579815682554135,43.27,32.52,24.22,20.21,14.65,5.3,25.51,19.95,45.46
9,Flamengo,34.0,Santos,1.7181207931797389,1.5718073001449413,41.47,35.77,22.76,17.32,14.21,3.65,20.97,17.86,38.83
