,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
292,"{'DS': 3, 'FC': 4, 'FD': 1, 'PI': 12, 'SG': 1}",78248,16,262,3,6,0.4,4.3,-0.11,1.85,4,,gustavo-henrique,Gustavo Henrique,G. Henrique,Gustavo Henrique Vernes,https://s.glbimg.com/es/sde/f/2022/04/25/2083e04ca82b626154c40bfdfe287d1d_FORMATO.png,Nulo
293,"{'A': 2, 'DS': 20, 'FC': 16, 'FD': 5, 'FF': 4, 'FS': 35, 'FT': 2, 'G': 1, 'I': 1, 'PI': 94}",51772,16,262,4,7,-0.6,7.85,-1.12,4.03,15,,everton-ribeiro,Everton Ribeiro,E. Ribeiro,Everton Augusto de Barros Ribeiro,https://s.glbimg.com/es/sde/f/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,Provável
294,"{'A': 1, 'DS': 2, 'FC': 5, 'FD': 2, 'FF': 4, 'FS': 3, 'I': 1, 'PI': 30}",87009,16,266,4,6,0.0,4.22,0.0,1.65,6,,nathan,Nathan,Nathan,Nathan Allan de Souza,https://s.glbimg.com/es/sde/f/2022/04/20/2662f106e29e9ae55a0ef2dd5992e969_FORMATO.png,Nulo
295,"{'CA': 3, 'CV': 1, 'DS': 15, 'FC': 8, 'FD': 3, 'FF': 2, 'FS': 4, 'FT': 1, 'GC': 1, 'I': 1, 'PC': 2, 'PI': 57, 'SG': 2}",50856,16,294,3,3,-2.7,4.3,-0.77,1.46,13,,henrique,Henrique,Henrique,Henrique Adriano Buss,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,Suspenso
296,"{'DE': 3, 'GS': 5, 'SG': 1}",38509,16,262,1,6,0.0,6.31,0.0,1.0,3,,diego-alves,Diego Alves,D. Alves,Diego Alves Carreira,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,Nulo
297,{},115830,16,1371,3,6,0.0,3.0,0.0,0.0,0,,juan-ojeda,Juan Ojeda,J. Ojeda,Juan Miguel Ojeda Gauto,https://s.glbimg.com/es/sde/f/2022/02/23/329e0ce48997a983d07303483e540281_FORMATO.png,Nulo
298,"{'CA': 3, 'DS': 9, 'FC': 13, 'FD': 2, 'FF': 2, 'FS': 1, 'I': 1, 'PI': 29, 'SG': 1}",52827,16,262,3,7,0.0,4.47,0.0,1.16,9,,david-luiz,David Luiz,D. Luiz,David Luiz Moreira Marinho,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,Provável
299,"{'CA': 1, 'DS': 6, 'FC': 9, 'FD': 2, 'FF': 2, 'FS': 5, 'FT': 1, 'PI': 31}",78435,16,262,5,2,3.5,5.29,0.51,1.42,7,,vitinho,Vitinho,Vitinho,Victor Vinícius Coelho dos Santos,https://s.glbimg.com/es/sde/f/2022/04/25/5998e5e1d43764fd385233be9e4edef5_FORMATO.png,Dúvida
300,"{'FC': 6, 'FF': 1, 'FS': 3, 'PI': 23, 'SG': 3}",87838,16,266,2,6,0.0,4.53,0.0,2.64,5,,pineida,Pineida,Pineida,Mario Alberto Pineida Martínez,https://s.glbimg.com/es/sde/f/2022/02/24/276aa6ed48cc157820cbf56e845f043f_FORMATO.png,Nulo
301,{},104153,16,264,4,6,0.0,2.0,0.0,0.0,0,,ruan,Ruan,Ruan,Ruan de Oliveira Ferreira,https://s.glbimg.com/es/sde/f/2022/04/27/9feb1a957a8cefce9300a34e82a63694_FORMATO.png,Nulo
