,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,São Paulo,19.0,Goiás,1.5838874854093636,1.2659824395210828,44.73,30.16,25.11,22.49,14.58,5.56
1,Botafogo,19.0,Athletico-PR,1.28538889503241,1.0168226654796113,42.79,29.33,27.89,26.25,17.7,10.15
2,Avaí,19.0,Flamengo,1.1576790555421108,1.198882956760868,35.64,36.77,27.58,20.99,22.18,9.53
3,Fluminense,19.0,Bragantino,1.5337503316637813,1.5546338519356064,37.2,38.62,24.19,16.66,16.74,4.88
4,Palmeiras,19.0,Internacional,1.5120217316975557,1.5088328749092352,37.9,37.83,24.27,17.13,17.26,4.97
5,Juventude,19.0,Ceará,1.3755959916566851,1.3260669059589536,38.23,35.87,25.9,19.76,18.17,6.84
6,Atlético-MG,19.0,Corinthians,1.4781622707343536,1.2681055215362904,42.25,32.31,25.44,21.3,16.44,6.46
7,Atlético-GO,19.0,América-MG,1.6526888140458706,1.408629489915972,44.05,32.3,23.64,19.87,14.03,4.78
8,Fortaleza,19.0,Santos,1.3912689336844266,1.348683593040704,38.48,36.02,25.5,19.68,18.54,6.4
9,Coritiba,19.0,Cuiabá,1.4567503640535888,1.1382616425889438,44.24,29.43,26.33,24.65,15.65,7.66
