,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,G_per_match,xG_per_shot,shots_per_goal,clube,eficiência
0,90031,Mendoza,354,2.83766615071283,32,10,7,0.283766615071283,0.7,0.08867706720977593,4.571428571428571,Ceará,4.162333849287171
1,89840,Calleri,276,5.176854554423758,37,11,9,0.4706231413112507,0.8181818181818182,0.13991498795739887,4.111111111111111,São Paulo,3.823145445576242
2,98225,Pedro Raul,290,2.212320691299848,15,6,6,0.36872011521664133,1.0,0.14748804608665653,2.5,Goiás,3.787679308700152
3,73347,Elvis,290,1.0409771548818705,10,6,4,0.17349619248031176,0.6666666666666666,0.10409771548818705,2.5,Goiás,2.9590228451181293
4,39148,Hulk,282,3.3922107243183195,35,9,6,0.3769123027020355,0.6666666666666666,0.09692030640909484,5.833333333333333,Atlético-MG,2.6077892756816805
5,89226,Iago Maidana,327,0.5456610412060401,4,2,3,0.27283052060302004,1.5,0.13641526030151002,1.3333333333333333,América-MG,2.4543389587939597
6,93478,Wanderson,285,1.75431420317764,12,7,4,0.25061631473966284,0.5714285714285714,0.14619285026480333,3.0,Internacional,2.24568579682236
7,91607,Rony,275,3.8688328770996856,27,10,6,0.38688328770996855,0.6,0.14329010655924762,4.5,Palmeiras,2.1311671229003144
8,110270,Gustavo Mantuan,264,0.9571122589260149,10,6,3,0.1595187098210025,0.5,0.09571122589260149,3.3333333333333335,Corinthians,2.042887741073985
9,71684,Gustavo Gómez,275,0.9786255244580493,8,4,3,0.24465638111451232,0.75,0.12232819055725616,2.6666666666666665,Palmeiras,2.0213744755419505
10,71691,Óscar Ruíz,286,1.0362421428409834,9,6,3,0.17270702380683056,0.5,0.11513801587122037,3.0,Juventude,1.9637578571590166
11,79631,Cano,266,4.06664093473686,34,9,6,0.45184899274854,0.6666666666666666,0.11960708631578999,5.666666666666667,Fluminense,1.93335906526314
12,109497,Marcos Leonardo,277,3.1732407838172345,27,9,5,0.35258230931302603,0.5555555555555556,0.11752743643767535,5.4,Santos,1.8267592161827655
13,93787,Andrey,294,1.1942047851771354,17,6,3,0.1990341308628559,0.5,0.07024734030453737,5.666666666666667,Coritiba,1.8057952148228646
14,102878,Terans,293,2.3052482371481418,19,7,4,0.3293211767354488,0.5714285714285714,0.1213288545867443,4.75,Athletico-PR,1.6947517628518582
15,53148,Ytalo,280,1.3467965464152576,11,7,3,0.1923995066307511,0.42857142857142855,0.12243604967411433,3.6666666666666665,Bragantino,1.6532034535847424
16,108422,Erison,263,3.399623537469813,28,10,5,0.3399623537469813,0.5,0.12141512633820761,5.6,Botafogo,1.6003764625301868
17,53865,Léo Gamalho,294,2.4453733250703844,17,5,4,0.48907466501407687,0.8,0.14384548971002262,4.25,Coritiba,1.5546266749296156
18,62977,Ganso,266,0.4568927287509398,6,4,2,0.11422318218773495,0.5,0.07614878812515663,3.0,Fluminense,1.54310727124906
19,38225,Muriqui,314,1.4643451865025625,10,5,3,0.2928690373005125,0.6,0.14643451865025625,3.3333333333333335,Avaí,1.5356548134974375
20,100762,Bissoli,314,2.771483386820158,21,9,4,0.3079425985355731,0.4444444444444444,0.13197539937238847,5.25,Avaí,1.228516613179842
21,89274,Andreas Pereira,262,0.7818951992271659,15,8,2,0.09773689990339574,0.25,0.05212634661514439,7.5,Flamengo,1.2181048007728341
22,89898,Róger Guedes,264,1.814911162161616,14,8,3,0.226863895270202,0.375,0.12963651158297257,4.666666666666667,Corinthians,1.185088837838384
23,98672,Savarino,282,0.8267272979259928,4,2,2,0.4133636489629964,1.0,0.2066818244814982,2.0,Atlético-MG,1.1732727020740072
24,95799,Artur,280,0.8801860172445798,7,5,2,0.17603720344891596,0.4,0.12574085960636855,3.5,Bragantino,1.1198139827554203
25,80287,Luciano,276,1.9244466851994995,18,9,3,0.21382740946661105,0.3333333333333333,0.10691370473330553,6.0,São Paulo,1.0755533148005005
26,103767,Gabriel Menino,275,0.050119084601081165,2,2,1,0.025059542300540583,0.5,0.025059542300540583,2.0,Palmeiras,0.9498809153989188
