,clube,xGA_geral
0,Atlético-MG,0.9011768612232888
1,Flamengo,0.9116664120924455
2,Palmeiras,1.023329103221163
3,Internacional,1.1069104432181724
4,Fluminense,1.1086040794460326
5,Corinthians,1.1576712318351563
6,São Paulo,1.1620980461369466
7,Fortaleza,1.162916917939052
8,Cuiabá,1.1975818084170613
9,Bragantino,1.2799252838475856
10,Ceará,1.3258601686019507
11,América-MG,1.3673984666439782
12,Atlético-GO,1.4162206818323098
13,Botafogo,1.4235357215882516
14,Coritiba,1.4653000175885418
15,Athletico-PR,1.48126157497447
16,Santos,1.4831683437062946
17,Juventude,1.5017953814862681
18,Avaí,1.5364457367655984
19,Goiás,1.7498005480906862
