,clube,P
0,Palmeiras,79.29921758075288
1,Corinthians,65.50465399441866
2,Internacional,61.52410888226051
3,Fluminense,56.821596815854264
4,Flamengo,55.82878286172921
5,Athletico-PR,54.18563604200943
6,Atlético-MG,53.09520446484146
7,São Paulo,52.96397490034267
8,Bragantino,50.30485757162706
9,Botafogo,49.66328610475299
10,Santos,48.59985973467541
11,Goiás,44.11784843851786
12,Fortaleza,43.66825960568446
13,Ceará,41.747570667830885
14,Coritiba,41.50289414326647
15,América-MG,41.21529380535138
16,Atlético-GO,39.30580263505652
17,Avaí,36.316394849642236
18,Cuiabá,34.074193751414256
19,Juventude,30.89903689996981
