,clube,P
0,Palmeiras,70.32029921580906
1,Corinthians,63.122364296761376
2,Internacional,59.351766675120786
3,Athletico-PR,57.89948156159821
4,São Paulo,57.67137519711712
5,Flamengo,57.16437890481162
6,Atlético-MG,56.31645614723359
7,Santos,55.597741707107
8,Bragantino,52.05137577141436
9,Fluminense,51.76994835778915
10,Botafogo,48.4753690252251
11,Ceará,47.746319096885394
12,Coritiba,45.708534539457254
13,Goiás,44.6165910945278
14,Fortaleza,41.665717099618014
15,Atlético-GO,41.49925599868483
16,Avaí,38.59061849852157
17,América-MG,38.36667365866501
18,Cuiabá,38.15133662210463
19,Juventude,35.89394781499611
