,clube,xG_total,xGA_total,xG_saldo
0,Palmeiras,29.420512108381935,15.486503284674825,13.93400882370711
1,Atlético-MG,25.471441061218563,14.306110635076923,11.16533042614164
2,Flamengo,23.843193765683626,15.225255279166948,8.617938486516678
3,Fortaleza,21.559993697542595,15.95927616913567,5.600717528406925
4,Internacional,22.22919821724893,18.544381654387276,3.684816562861652
5,Bragantino,21.375704965630433,17.90180434033433,3.4739006252961033
6,São Paulo,21.804579558876064,19.302380553835185,2.502199005040879
7,Fluminense,20.444798054218076,19.29901092741217,1.1457871268059066
8,Atlético-GO,22.37000138881271,21.28548382494286,1.0845175638698485
9,Santos,22.765906893144187,21.700912326487078,1.0649945666571092
10,Coritiba,22.369370873170336,21.944060757110663,0.4253101160596735
11,Ceará,19.24597382738682,20.743514269627994,-1.4975404422411742
12,América-MG,19.393456375738488,22.40190761387953,-3.008451238141042
13,Corinthians,13.917480846718728,19.18699164247596,-5.269510795757231
14,Botafogo,16.430560134488754,21.815744427995206,-5.385184293506452
15,Cuiabá,15.802946597313657,21.334089404631005,-5.531142807317348
16,Juventude,15.63860495444145,21.55846629936621,-5.91986134492476
17,Athletico-PR,16.67754022017255,22.706859864816177,-6.029319644643628
18,Avaí,15.977551794111116,25.162772567600328,-9.185220773489212
19,Goiás,15.669187945256144,26.542477436598848,-10.873289491342703
