,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Avaí,26.0,Athletico-PR,1.353719981439069,1.0124989490818332,44.08,28.24,27.68,26.88,16.54,9.54,36.42,26.08,62.5
1,Coritiba,26.0,Atlético-GO,1.4025674894690636,1.1435292686432008,42.76,30.92,26.32,24.15,17.04,7.92,32.07,24.96,57.03
2,Botafogo,26.0,América-MG,1.4158753593075175,1.139318766439061,43.5,30.23,26.27,24.3,16.32,7.72,32.02,24.04,56.06
3,Ceará,26.0,Santos,1.3152938075434824,1.134687061403729,39.98,32.44,27.57,22.86,18.43,8.91,31.77,27.34,59.11
4,Goiás,26.0,Flamengo,1.1415408502888442,1.2787086111386476,33.31,39.12,27.57,18.96,22.46,8.93,27.89,31.39,59.28
5,São Paulo,26.0,Corinthians,1.3607996000041083,1.2196723243800451,40.99,32.92,26.09,22.02,17.79,7.41,29.43,25.2,54.629999999999995
6,Palmeiras,26.0,Juventude,1.8795860690308315,1.2781599462344957,51.88,25.91,22.21,23.52,10.92,4.23,27.75,15.15,42.9
7,Internacional,26.0,Cuiabá,1.4725047368017634,1.2906677595484726,41.3,33.94,24.77,21.16,16.99,6.25,27.41,23.24,50.65
8,Fluminense,26.0,Fortaleza,1.4488890622543564,1.29492950561435,40.64,33.68,25.67,20.62,17.11,6.26,26.880000000000003,23.369999999999997,50.25
9,Atlético-MG,26.0,Bragantino,1.5553306436931305,1.46224068329138,39.95,35.94,24.12,18.02,15.75,4.98,23.0,20.73,43.730000000000004
