,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,São Paulo,Goiás,1.5,4.0,7.37,66.66666666666666,13.568521031207597,25.0
1,Botafogo,Athletico-PR,2.45,3.18,3.02,40.81632653061224,33.11258278145696,31.446540880503143
2,Avaí,Flamengo,4.54,3.72,1.76,22.026431718061673,56.81818181818182,26.881720430107524
3,Juventude,Ceará,2.89,3.06,2.62,34.602076124567475,38.167938931297705,32.6797385620915
4,Fluminense,Bragantino,1.93,3.41,4.09,51.81347150259068,24.44987775061125,29.325513196480934
5,Palmeiras,Internacional,1.52,4.12,6.45,65.78947368421053,15.503875968992247,24.271844660194176
6,Atlético-GO,América-MG,1.9,3.43,4.15,52.63157894736842,24.096385542168672,29.154518950437314
7,Atlético-MG,Corinthians,1.6,3.71,6.22,62.5,16.077170418006432,26.954177897574123
8,Fortaleza,Santos,2.04,3.23,3.94,49.01960784313725,25.380710659898476,30.959752321981426
9,Coritiba,Cuiabá,2.01,3.27,3.93,49.75124378109454,25.44529262086514,30.58103975535168
