,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,50,35,11,24,7,1
1,Corinthians,41,26,17,9,7,2
2,Fluminense,36,25,20,5,7,3
3,Internacional,34,26,19,7,4,4
4,Atlético-MG,34,25,19,6,4,5
5,Athletico-PR,33,23,22,1,4,6
6,Flamengo,32,24,17,7,7,7
7,Bragantino,32,30,24,6,4,8
8,Santos,31,21,14,7,5,9
9,São Paulo,28,26,23,3,5,10
10,Ceará,28,22,22,0,4,11
11,Goiás,27,21,24,-3,5,12
12,Botafogo,26,18,24,-6,7,13
13,Avaí,26,19,28,-9,4,14
14,Coritiba,24,20,29,-9,7,15
15,América-MG,23,12,22,-10,7,16
16,Cuiabá,22,12,19,-7,4,17
17,Atlético-GO,22,17,26,-9,4,18
18,Fortaleza,21,14,20,-6,5,19
19,Juventude,21,15,30,-15,7,20
