,clube,xGA_geral
0,Atlético-MG,0.8712866241530632
1,Flamengo,0.9379477397114377
2,Palmeiras,1.0213840931554128
3,Internacional,1.1167816038768632
4,Corinthians,1.1218937932162678
5,Fluminense,1.1234891175734272
6,Fortaleza,1.190224457033149
7,Cuiabá,1.218730782240473
8,São Paulo,1.229209051672958
9,Bragantino,1.264617884766813
10,América-MG,1.3213481596974268
11,Ceará,1.3499068363955518
12,Botafogo,1.4023838064178764
13,Athletico-PR,1.4375853610060538
14,Coritiba,1.4432044872826466
15,Santos,1.450667996111346
16,Atlético-GO,1.476461030716631
17,Juventude,1.538752572102894
18,Avaí,1.544893378271725
19,Goiás,1.7645751490105686
