,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,G_per_match,xG_per_shot,shots_per_goal,clube,eficiência
0,98225,Pedro Raul,290,7.36698505421426,59,21,15,0.35080881210544096,0.7142857142857143,0.12486415346125865,3.933333333333333,Goiás,7.63301494578574
1,100762,Bissoli,314,5.640852865621131,46,23,13,0.24525447241831005,0.5652173913043478,0.12262723620915503,3.5384615384615383,Avaí,7.359147134378869
2,79631,Cano,266,10.199131638257887,78,25,16,0.4079652655303155,0.64,0.13075809792638315,4.875,Fluminense,5.800868361742113
3,71684,Gustavo Gómez,275,2.3354525709264853,17,9,7,0.2594947301029428,0.7777777777777778,0.1373795629956756,2.4285714285714284,Palmeiras,4.664547429073515
4,102878,Terans,293,4.998823819686494,58,18,9,0.2777124344270274,0.5,0.08618661758080161,6.444444444444445,Athletico-PR,4.001176180313506
5,99815,Arias,266,2.607007810040922,24,16,6,0.16293798812755764,0.375,0.10862532541837176,4.0,Fluminense,3.392992189959078
6,53865,Léo Gamalho,294,3.800569538579862,27,12,7,0.3167141282149885,0.5833333333333334,0.1407618347622171,3.857142857142857,Coritiba,3.199430461420138
7,100848,Luan Cândido,280,3.8179052966051765,49,22,7,0.17354114984568983,0.3181818181818182,0.07791643462459544,7.0,Bragantino,3.1820947033948235
8,89840,Calleri,276,8.87001267359155,66,24,12,0.3695838613996479,0.5,0.13439413141805379,5.5,São Paulo,3.1299873264084503
9,73347,Elvis,290,0.9966437034435482,12,8,4,0.12458046293044353,0.5,0.08305364195362902,3.0,Goiás,3.0033562965564515
10,91607,Rony,275,6.183418932796371,51,20,9,0.3091709466398186,0.45,0.12124350848620336,5.666666666666667,Palmeiras,2.8165810672036287
11,94583,Pedro,262,4.281577066576361,34,15,7,0.28543847110509074,0.4666666666666667,0.1259287372522459,4.857142857142857,Flamengo,2.718422933423639
12,93478,Wanderson,285,3.3516551961339203,26,15,6,0.22344367974226134,0.4,0.12890981523592002,4.333333333333333,Internacional,2.6483448038660797
13,90031,Mendoza,354,6.5224449673055265,64,23,9,0.2835845637958925,0.391304347826087,0.10191320261414885,7.111111111111111,Ceará,2.4775550326944735
14,38229,Fábio Santos,264,0.527043986479299,3,2,3,0.2635219932396495,1.5,0.17568132882643298,1.0,Corinthians,2.472956013520701
15,83433,Patrick,276,2.6618231263374805,21,16,5,0.16636394539609253,0.3125,0.1267534822065467,4.2,São Paulo,2.3381768736625195
16,39148,Hulk,282,6.665603155682158,84,22,9,0.30298196162191626,0.4090909090909091,0.07935241852002568,9.333333333333334,Atlético-MG,2.3343968443178422
17,62977,Ganso,266,1.7365518097482022,19,12,4,0.14471265081235019,0.3333333333333333,0.09139746367095801,4.75,Fluminense,2.2634481902517978
18,69014,Manoel,266,1.7595596986763091,14,11,4,0.1599599726069372,0.36363636363636365,0.12568283561973637,3.5,Fluminense,2.240440301323691
19,63289,Edenílson,285,2.794549597751403,29,13,5,0.21496535367318484,0.38461538461538464,0.096363779232807,5.8,Internacional,2.205450402248597
20,89226,Iago Maidana,327,0.8429023305833455,6,4,3,0.21072558264583638,0.75,0.14048372176389093,2.0,América-MG,2.1570976694166544
21,98219,Alemão,285,4.959792953432795,31,16,7,0.3099870595895497,0.4375,0.15999332107847727,4.428571428571429,Internacional,2.040207046567205
22,93787,Andrey,294,0.9688013815641611,17,6,3,0.1614668969273602,0.5,0.05698831656259771,5.666666666666667,Coritiba,2.031198618435839
23,79113,Víctor Cuesta,263,0.998403719201437,9,7,3,0.14262910274306242,0.42857142857142855,0.11093374657793745,3.0,Botafogo,2.001596280798563
24,91521,Eder,276,1.1949438919482451,13,6,3,0.1991573153247075,0.5,0.09191876091909577,4.333333333333333,São Paulo,1.8050561080517549
25,69705,Nikão,276,1.218172559843816,12,8,3,0.152271569980477,0.375,0.10151437998698466,4.0,São Paulo,1.781827440156184
26,83257,Gabriel,262,8.237789754438372,56,20,10,0.41188948772191863,0.5,0.1471033884721138,5.6,Flamengo,1.7622102455616275
27,38225,Muriqui,314,2.297920972592437,16,10,4,0.2297920972592437,0.4,0.14362006078702733,4.0,Avaí,1.7020790274075628
28,110270,Gustavo Mantuan,264,1.3114772781733808,14,9,3,0.1457196975748201,0.3333333333333333,0.09367694844095577,4.666666666666667,Corinthians,1.6885227218266192
29,42116,Willian,266,1.3271718278035893,10,9,3,0.14746353642262103,0.3333333333333333,0.13271718278035893,3.3333333333333335,Fluminense,1.6728281721964107
30,79631,0,266,0.3310677740143576,3,1,2,0.3310677740143576,2.0,0.11035592467145254,1.5,Fluminense,1.6689322259856425
31,80287,Luciano,276,6.3650246435893525,53,21,8,0.30309641159949297,0.38095238095238093,0.12009480459602552,6.625,São Paulo,1.6349753564106475
32,53148,Ytalo,280,1.3859185722123715,11,7,3,0.1979883674589102,0.42857142857142855,0.12599259747385194,3.6666666666666665,Bragantino,1.6140814277876285
33,90444,Moisés,285,0.4134803030198736,7,7,2,0.0590686147171248,0.2857142857142857,0.0590686147171248,3.5,Internacional,1.5865196969801265
34,87887,Balbuena,264,0.43056191485995315,4,3,2,0.14352063828665104,0.6666666666666666,0.10764047871498829,2.0,Corinthians,1.569438085140047
35,68690,André,1371,1.4565396168241735,14,9,3,0.16183773520268596,0.3333333333333333,0.10403854405886954,4.666666666666667,Cuiabá,1.5434603831758265
36,100762,0,314,0.46798579471966983,3,1,2,0.46798579471966983,2.0,0.1559952649065566,1.5,Avaí,1.5320142052803303
37,108422,Erison,263,5.478479815495323,47,19,7,0.2883410429208065,0.3684210526315789,0.11656340032968772,6.714285714285714,Botafogo,1.521520184504677
38,90768,Fabrício Bruno,262,0.48155433210418896,3,2,2,0.24077716605209448,1.0,0.16051811070139632,1.5,Flamengo,1.518445667895811
39,105934,Merentiel,275,0.48986504590411906,3,2,2,0.24493252295205953,1.0,0.16328834863470634,1.5,Palmeiras,1.5101349540958808
40,87552,Vitor Bueno,293,1.495956800317223,17,10,3,0.1495956800317223,0.3,0.08799745884218958,5.666666666666667,Athletico-PR,1.504043199682777
41,71691,Óscar Ruíz,286,1.5599498169098895,16,12,3,0.12999581807582414,0.25,0.0974968635568681,5.333333333333333,Juventude,1.4400501830901105
42,97450,Gustavo Mosquito,264,1.569999880650312,12,8,3,0.196249985081289,0.375,0.13083332338752598,4.0,Corinthians,1.430000119349688
43,78077,Madson,277,0.6482807646761736,7,6,2,0.10804679411269559,0.3333333333333333,0.09261153781088194,3.5,Santos,1.3517192353238263
44,98672,Savarino,282,0.7139361822128597,4,2,2,0.35696809110642985,1.0,0.17848404555321493,2.0,Atlético-MG,1.2860638177871402
45,72524,Nicolas,290,1.7313526723885666,18,9,3,0.1923725191542852,0.3333333333333333,0.0961862595771426,6.0,Goiás,1.2686473276114334
46,72583,Pedro Henrique,285,4.743991065661858,39,17,6,0.2790582979801093,0.35294117647058826,0.12164079655543225,6.5,Internacional,1.2560089343381424
47,81161,Léo Baptistão ,277,3.7550035704299245,34,14,5,0.2682145407449946,0.35714285714285715,0.11044128148323307,6.8,Santos,1.2449964295700755
48,90302,Pedro Rocha,356,0.7865834961933585,6,3,2,0.2621944987311195,0.6666666666666666,0.13109724936555975,3.0,Fortaleza,1.2134165038066413
49,109389,Raul Gustavo,264,0.8203263143598637,8,5,2,0.16406526287197273,0.4,0.10254078929498296,4.0,Corinthians,1.1796736856401364
