,clube,P
0,Palmeiras,74.12961284465143
1,Corinthians,61.52371784414594
2,Fluminense,56.94847457242088
3,Internacional,56.493677451974506
4,Athletico-PR,55.85256881600758
5,Atlético-MG,55.52676527687123
6,Flamengo,54.06706935470938
7,Bragantino,51.36617256420774
8,São Paulo,50.1059248968321
9,Santos,48.75810328408969
10,Ceará,47.807228956493695
11,Goiás,46.186684753884606
12,Botafogo,46.063791629300525
13,Coritiba,40.995903166391926
14,Avaí,39.17562141174113
15,América-MG,38.583133855583135
16,Fortaleza,37.79929240596933
17,Atlético-GO,36.59039500740831
18,Cuiabá,36.10878448656263
19,Juventude,34.81492923659656
