,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,72,52,16,36,11,1
1,Corinthians,58,38,25,13,11,2
2,Internacional,54,38,25,13,11,3
3,Fluminense,50,40,32,8,4,4
4,Flamengo,48,38,27,11,13,5
5,Atlético-MG,47,32,24,8,8,6
6,Athletico-PR,46,34,34,0,7,7
7,São Paulo,45,38,28,10,8,8
8,Botafogo,44,30,32,-2,7,9
9,Bragantino,43,42,39,3,6,10
10,Santos,41,32,24,8,6,11
11,Goiás,38,30,35,-5,5,12
12,Fortaleza,37,26,30,-4,11,13
13,América-MG,37,23,31,-8,6,14
14,Ceará,36,28,32,-4,3,15
15,Coritiba,36,26,40,-14,5,16
16,Atlético-GO,34,27,39,-12,11,17
17,Avaí,32,24,46,-22,0,18
18,Cuiabá,29,21,33,-12,1,19
19,Juventude,26,23,49,-26,2,20
