,clube,xP,ranking_xp
0,Flamengo,37.88,1
1,Palmeiras,36.49,2
2,Atlético-MG,35.65,3
3,Internacional,31.459999999999997,4
4,Fluminense,31.38,5
5,São Paulo,30.03,6
6,Fortaleza,28.82,7
7,Bragantino,27.440000000000005,8
8,América-MG,27.240000000000002,9
9,Corinthians,25.9,10
10,Atlético-GO,25.189999999999998,11
11,Ceará,24.290000000000003,12
12,Botafogo,24.22,13
13,Coritiba,23.72,14
14,Santos,23.509999999999998,15
15,Cuiabá,23.48,16
16,Juventude,20.360000000000003,17
17,Avaí,20.229999999999997,18
18,Athletico-PR,20.16,19
19,Goiás,15.329999999999998,20
