,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Ceará,32.0,Cuiabá,1.2418799466060253,0.9421596469286082,43.26,28.15,28.59,27.68,17.42,11.24,38.92,28.660000000000004,67.58000000000001
1,Goiás,32.0,Corinthians,1.1351313552402216,1.0225117554978516,37.59,32.59,29.82,24.45,20.83,11.52,35.97,32.349999999999994,68.32
2,Avaí,32.0,Fluminense,1.2434135336584324,1.040539138448585,40.66,30.8,28.54,25.25,18.6,10.08,35.33,28.68,64.00999999999999
3,Botafogo,32.0,Internacional,1.1657083324587576,1.228792862026106,34.04,38.41,27.54,19.99,22.19,9.01,29.0,31.200000000000003,60.2
4,Athletico-PR,32.0,Coritiba,1.4674270830519212,1.2505364293848165,41.55,32.77,25.68,21.77,16.75,6.68,28.45,23.43,51.879999999999995
5,América-MG,32.0,Fortaleza,1.5006731002553457,1.284546895245333,42.22,32.63,25.15,21.91,16.04,6.3,28.21,22.34,50.55
6,Bragantino,32.0,Santos,1.431017182402857,1.2971129395100833,41.04,33.92,25.04,21.27,17.12,6.29,27.56,23.41,50.97
7,Juventude,32.0,Atlético-GO,1.5269085419627852,1.3198166147419204,42.54,32.69,24.77,21.03,15.9,5.82,26.85,21.72,48.57
8,Flamengo,32.0,Atlético-MG,1.5375220532991662,1.6784162707812695,35.07,42.08,22.85,14.22,17.94,3.96,18.18,21.900000000000002,40.08
9,Palmeiras,32.0,São Paulo,1.6096008403509767,1.644370935808589,37.11,39.2,23.69,14.79,16.02,3.96,18.75,19.98,38.730000000000004
