,clube,xGA_geral
0,Atlético-MG,0.9014277588812022
1,Flamengo,0.9856074609832385
2,Fortaleza,1.025752482738099
3,Palmeiras,1.038622687335907
4,São Paulo,1.0941423023543329
5,América-MG,1.0998080838343092
6,Internacional,1.1096397145348806
7,Corinthians,1.1930025889327018
8,Avaí,1.2004286608673942
9,Bragantino,1.2204106645689654
10,Athletico-PR,1.2234471310913517
11,Juventude,1.2401976825393657
12,Coritiba,1.2606485309617423
13,Botafogo,1.274321169997581
14,Fluminense,1.274812226916469
15,Ceará,1.3156514363700855
16,Atlético-GO,1.3674882194776719
17,Santos,1.3932733942820001
18,Cuiabá,1.4943872223410746
19,Goiás,1.758871601831324
