,clube,xG_mean,xG_total
0,Palmeiras,1.6937423941788792,45.7310446428297
1,Flamengo,1.659417161560196,44.804263362125276
2,Atlético-MG,1.5000677954771082,42.00189827335902
3,Internacional,1.498228964253807,41.9504109991066
4,América-MG,1.4718314529587864,41.211280682846045
5,Fluminense,1.4368377969510477,40.23145831462937
6,Bragantino,1.3935124974637036,39.01834992898367
7,Atlético-GO,1.3785520118428656,38.59945633160021
8,São Paulo,1.372420548032735,38.42777534491656
9,Coritiba,1.2912636728263416,36.155382839137566
10,Fortaleza,1.2708132565425292,35.58277118319082
11,Santos,1.2632989135165786,35.372369578464166
12,Botafogo,1.217071809960807,34.078010678902594
13,Corinthians,1.1832651116071367,33.13142312499981
14,Ceará,1.1565602307887224,32.38368646208424
15,Juventude,1.0938220467849047,30.627017309977333
16,Athletico-PR,1.0680951910525478,29.90666534947134
17,Cuiabá,1.0572621920535832,29.603341377500314
18,Avaí,1.0545580661759077,29.52762585292543
19,Goiás,0.9798266439121741,27.435146029540874
