,clube,xGA_geral
0,Atlético-MG,0.8504665017126174
1,Flamengo,0.9193377172236166
2,Palmeiras,0.9879832086134326
3,Fortaleza,1.046782905593813
4,Corinthians,1.1152851000612798
5,Fluminense,1.1466714739705468
6,São Paulo,1.1723479976186786
7,Internacional,1.2033469859135084
8,Cuiabá,1.2174872981370068
9,Bragantino,1.294042847918158
10,Atlético-GO,1.2962125988812865
11,Ceará,1.3022645208670944
12,Coritiba,1.3190740153198106
13,América-MG,1.3539115413218372
14,Botafogo,1.3668152198350043
15,Santos,1.404950548584209
16,Athletico-PR,1.4061100069197705
17,Juventude,1.5083834201646213
18,Avaí,1.5541745272176035
19,Goiás,1.718500632974691
