,clube,ranking_clube,fase
0,Palmeiras,1,86.67
1,Athletico-PR,3,73.33
2,Fluminense,6,66.67
3,Internacional,4,66.67
4,Atlético-GO,13,66.67
5,Bragantino,12,53.33
6,Atlético-MG,5,53.33
7,Corinthians,2,53.33
8,Avaí,11,46.67
9,Ceará,15,46.67
10,Santos,7,46.67
11,Flamengo,9,40.0
12,Botafogo,10,40.0
13,Cuiabá,18,33.33
14,São Paulo,8,33.33
15,Goiás,14,33.33
16,Fortaleza,20,33.33
17,Coritiba,16,6.67
18,América-MG,17,6.67
19,Juventude,19,6.67
