,clube,xP,ranking_xp
0,Palmeiras,32.53,1
1,Atlético-MG,31.699999999999996,2
2,Flamengo,29.48,3
3,Fortaleza,27.689999999999998,4
4,Fluminense,27.45,5
5,Internacional,27.12,6
6,Bragantino,26.87,7
7,São Paulo,25.82,8
8,Atlético-GO,24.680000000000003,9
9,Santos,24.15,10
10,Coritiba,23.619999999999997,11
11,Ceará,23.13,12
12,América-MG,23.119999999999997,13
13,Botafogo,21.77,14
14,Corinthians,21.349999999999998,15
15,Avaí,21.16,16
16,Juventude,21.139999999999997,17
17,Athletico-PR,20.869999999999997,18
18,Cuiabá,20.830000000000002,19
19,Goiás,17.64,20
