,clube,P
0,Palmeiras,72.30296868509306
1,Corinthians,62.89266517721845
2,Atlético-MG,59.2780216444272
3,Internacional,58.66357331290888
4,Athletico-PR,58.60610519340706
5,Flamengo,55.62858660026211
6,Fluminense,55.1380280370346
7,São Paulo,54.23936943949793
8,Santos,53.29089955362174
9,Bragantino,52.86320578132235
10,Ceará,47.31491266961811
11,Goiás,47.04848212950154
12,Botafogo,46.4203116604622
13,Fortaleza,42.92360117013971
14,Coritiba,41.90071378629296
15,Atlético-GO,41.14475489264709
16,Avaí,39.64449714159454
17,Cuiabá,38.26948570828889
18,América-MG,35.545730854261606
19,Juventude,34.86579908045696
