,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Juventude,Corinthians,3.96,3.17,2.07,25.252525252525253,48.309178743961354,31.545741324921135
2,Bragantino,Cuiabá,1.61,3.72,6.19,62.11180124223602,16.15508885298869,26.881720430107524
4,Athletico-PR,Fortaleza,2.16,3.17,3.67,46.29629629629629,27.247956403269757,31.545741324921135
5,Flamengo,Internacional,1.58,3.92,6.36,63.291139240506325,15.723270440251572,25.510204081632654
7,Avaí,Botafogo,2.62,3.14,2.83,38.167938931297705,35.3356890459364,31.84713375796178
9,América-MG,São Paulo,2.59,3.2,2.81,38.61003861003861,35.587188612099645,31.25
10,Cuiabá,Flamengo,4.38,3.69,1.75,22.831050228310502,57.14285714285714,27.10027100271003
11,Corinthians,Athletico-PR,1.85,3.42,4.11,54.05405405405405,24.330900243309,29.239766081871345
12,Internacional,Goiás,1.45,4.16,6.81,68.96551724137932,14.684287812041116,24.038461538461537
13,Fortaleza,Avaí,1.64,3.49,5.56,60.97560975609756,17.98561151079137,28.653295128939828
15,Atlético-MG,Ceará,1.54,4.09,5.72,64.93506493506493,17.482517482517483,24.44987775061125
16,Coritiba,Bragantino,2.66,2.91,2.8,37.59398496240601,35.714285714285715,34.36426116838488
17,Fluminense,América-MG,1.65,3.58,5.29,60.60606060606061,18.90359168241966,27.932960893854748
18,Atlético-GO,Palmeiras,4.05,3.52,1.86,24.69135802469136,53.76344086021505,28.40909090909091
19,Santos,Juventude,1.53,4.04,5.95,65.359477124183,16.806722689075627,24.752475247524753
20,São Paulo,Coritiba,1.55,3.6,6.4,64.51612903225806,15.625,27.77777777777778
