,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Corinthians,11.0,Juventude,1.092888874433716,0.7955606477173832,41.56,27.13,31.31,29.68,18.9,14.91
1,Atlético-MG,11.0,Santos,1.6628820099663182,1.4957351400109737,42.3,34.74,22.96,18.38,14.8,4.01
2,Fluminense,11.0,Atlético-GO,1.352560274400628,1.1904940930903067,40.8,32.39,26.8,22.55,17.68,8.13
3,Cuiabá,11.0,Bragantino,1.0713996106281707,0.9608056620535186,37.93,31.81,30.25,25.31,21.42,13.3
4,Internacional,11.0,Flamengo,1.2506748306288298,1.2490678345052508,36.08,36.83,27.09,20.16,20.82,8.29
5,São Paulo,11.0,América-MG,1.4080322733354205,1.2374731797162755,40.8,33.22,25.97,21.7,17.11,6.93
6,Goiás,11.0,Ceará,1.2376425492039596,1.1017556812010523,39.37,32.57,28.06,24.12,19.31,9.38
7,Coritiba,11.0,Palmeiras,1.4382270884338557,1.808508252694795,30.55,46.4,23.04,12.19,19.67,3.74
8,Fortaleza,11.0,Athletico-PR,1.2466909195627374,1.22677576100146,37.18,35.88,26.93,20.71,20.27,8.64
9,Botafogo,11.0,Avaí,1.2692769565316435,0.9929900365994452,42.22,29.29,28.48,26.49,17.7,10.29
