,rodada_id,mandante,visitante,prob_mandante_media,prob_empate_media,prob_visitante_media,prob_sg_mandante_media,prob_sg_visitante_media
0,34.0,Flamengo,Santos,54.295571844217086,24.490026269016763,22.980990308367677,34.23889707196908,18.42321157292097
1,34.0,Athletico-PR,Palmeiras,22.753867542801704,26.701152297005937,52.06143935395098,21.4386579558982,35.35723891244307
2,34.0,Botafogo,Bragantino,,,,29.399525742692624,21.787202444920375
3,34.0,Corinthians,Fluminense,,,,31.507657594298834,21.985252612217877
4,34.0,Internacional,Ceará,55.05108437639967,25.56839560209967,21.243179087715657,39.86678785768921,18.8060582485857
5,34.0,Goiás,América-MG,,,,32.465602077680174,24.010736601873262
6,34.0,São Paulo,Atlético-GO,,,,34.15847371022579,15.763784683345413
7,34.0,Fortaleza,Coritiba,54.91657553447154,25.33800507922166,21.722896973972066,35.92387339164,18.726153989476362
8,34.0,Atlético-MG,Juventude,68.72322526275427,20.047843230492813,13.00654417716644,45.348516123475406,13.822936254987635
9,34.0,Cuiabá,Avaí,50.84454286916736,28.68602686266844,22.42019188501175,38.244102354721406,22.553912376044778
