,clube,P
0,Palmeiras,64.82570551189183
1,Atlético-MG,61.9904680058448
2,Bragantino,60.29002816078931
3,Athlético-PR,59.6312681259731
4,Flamengo,58.06237433653651
5,Fluminense,55.1578674631899
6,Fortaleza,54.54252170955163
7,Corinthians,53.55214621827562
8,Santos,53.48284042316237
9,São Paulo,51.68532997133505
10,Bahia,49.66713200591721
11,Internacional,48.4026092999822
12,Ceará,47.90084006833606
13,Atlético-GO,43.90374610086111
14,Grêmio,41.453345984685306
15,Juventude,40.13335432649654
16,Sport,38.87654023415488
17,Chapecoense,34.34473165103726
18,Cuiabá,33.093560764516845
19,América-MG,32.57658175126162
