,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,65,48,21,27,9,1
1,Flamengo,56,57,26,31,10,2
2,Palmeiras,55,50,36,14,12,3
3,Corinthians,50,35,31,4,10,4
4,Fortaleza,49,40,37,3,4,5
5,Bragantino,48,46,36,10,6,6
6,Internacional,46,40,33,7,7,7
7,Fluminense,44,30,30,0,9,8
8,América-MG,43,35,34,1,12,9
9,Ceará,41,29,30,-1,10,10
10,Athlético-PR,40,37,40,-3,6,11
11,Atlético-GO,38,23,28,-5,4,12
12,São Paulo,36,24,33,-9,4,13
13,Santos,36,26,36,-10,7,14
14,Cuiabá,35,28,30,-2,4,15
15,Juventude,35,30,36,-6,8,16
16,Bahia,35,32,41,-9,7,17
17,Sport,30,20,30,-10,3,18
18,Grêmio,26,25,39,-14,3,19
19,Chapecoense,15,26,54,-28,2,20
