,clube,P
0,Atlético-MG,72.24779163403885
1,Flamengo,63.65762112115729
2,Palmeiras,58.097609085519395
3,Bragantino,57.51397502305367
4,Fortaleza,57.292759797742846
5,Corinthians,56.68030082419745
6,Internacional,54.85698903561241
7,Athlético-PR,50.93251711394341
8,Fluminense,48.87569056212004
9,São Paulo,45.78540704696676
10,Santos,45.206453435012776
11,Ceará,44.33196935906695
12,Atlético-GO,44.19552373760752
13,Cuiabá,42.23723869744386
14,Bahia,41.948977338563324
15,América-MG,40.85527193457857
16,Sport,40.26117794508381
17,Juventude,39.15704716695715
18,Grêmio,37.09478684659333
19,Chapecoense,26.4023159747642
