,mandante,visitante,odds_mandante,odds_empate,odds_visitante
1,São Paulo,América-MG,1.82,3.48,4.74
2,Bahia,Fortaleza,2.93,3.28,2.44
3,Cuiabá,Santos,2.63,3.09,2.84
4,Ceará,Palmeiras,2.72,3.19,2.74
5,Athletico-PR,Sport,1.91,3.32,4.39
6,Flamengo,Atlético-GO,1.36,4.97,9.22
7,Atlético-MG,Grêmio,1.69,3.75,5.29
8,Chapecoense,Fluminense,4.0,3.24,2.01
9,Corinthians,Juventude,1.69,3.48,5.65
