,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Sport,Chapecoense,36.79133357765183,39.36846885240075,23.84019750320085,57.529879056601075,46.578400958839026
1,Santos,Flamengo,23.585984796475834,25.929921569856713,50.48403288564964,22.012084578545725,38.85703518853902
2,Palmeiras,Athlético-PR,38.39018059481077,26.420489969149695,35.189302047087736,28.311903002117468,26.444501467239768
3,Grêmio,Corinthians,22.10016648010401,39.340135571373345,38.559697859940165,45.52386101216802,59.51581448535877
4,América-MG,Ceará,21.041070606859932,29.075797682912658,49.88311924863597,27.608439404064516,48.3677615517709
5,Juventude,São Paulo,33.58450173927627,37.95170337485534,28.463794815477826,51.35717550584623,47.14571840749565
6,Atlético-GO,Internacional,35.668067269404226,30.44721377641902,33.88471642713748,36.62177896623023,35.385091981887086
7,Bragantino,Atlético-MG,29.5365263667582,25.090378023611372,45.37301348998999,21.217628300230757,30.057204322769
8,Fluminense,Bahia,43.97622966617018,26.98808112811242,29.035663548486994,34.51277773842737,25.276068890442705
9,Fortaleza,Cuiabá,55.93498068577728,26.271714017081194,17.793253006998686,49.08286516746446,22.5017450857145
