,clube,ranking_clube,fase
0,São Paulo,12,73.33
1,Atlético-MG,1,73.33
2,Flamengo,5,66.67
3,Corinthians,6,66.67
4,Internacional,10,60.0
5,Grêmio,18,60.0
6,Bragantino,4,53.33
7,Juventude,14,53.33
8,América-MG,17,53.33
9,Cuiabá,15,53.33
10,Atlético-GO,7,46.67
11,Fortaleza,3,40.0
12,Santos,11,40.0
13,Sport,19,33.33
14,Ceará,8,33.33
15,Palmeiras,2,26.67
16,Fluminense,13,26.67
17,Chapecoense,20,20.0
18,Bahia,16,6.67
19,Athlético-PR,9,0.0
