,atleta_id,apelido,ranking
0,87863,Arrascaeta,1
1,83257,Gabriel,2
2,90285,Bruno Henrique,3
3,112616,Gabriel Chapecó,4
4,80853,Pedro Geromel,5
5,87999,Gustavo Scarpa,6
6,38750,Filipe Luís,7
7,70323,Jorginho,8
8,78248,Gustavo Henrique,9
9,43618,Luiz Felipe Scolari,10
10,51772,Everton Ribeiro,11
11,68952,Marinho,12
12,98672,Savarino,13
13,61188,Gilberto,14
14,109963,Renan,15
15,94916,Nacho Fernández,16
16,96340,Lima,17
17,69345,Isla,18
18,102878,Terans,19
19,107750,Vanderson,20
