,clube,P
0,Atlético-MG,67.85765778501283
1,Palmeiras,65.24941097666637
2,Flamengo,60.45136244245718
3,Bragantino,59.65191394171366
4,Fortaleza,59.40173304617803
5,Athlético-PR,56.47485919941793
6,Santos,52.25807676669341
7,Corinthians,51.946793681563655
8,Internacional,51.317227416762094
9,Ceará,50.12458746393121
10,Fluminense,49.83296271763056
11,São Paulo,49.79344983487838
12,Bahia,45.85297191160852
13,Atlético-GO,44.09712737937951
14,Sport,41.58620650532694
15,Grêmio,41.563375691335004
16,Juventude,39.08042149581337
17,Cuiabá,34.24536467140756
18,América-MG,34.00466012239234
19,Chapecoense,30.27008651385388
