,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,31,25,12,13,15,1
1,Atlético-MG,28,19,10,9,15,2
2,Fortaleza,27,21,9,12,12,3
3,Bragantino,24,24,16,8,6,4
4,Athlético-PR,23,21,13,8,7,5
5,Flamengo,21,22,10,12,9,6
6,Ceará,19,14,12,2,9,7
7,Atlético-GO,18,10,12,-2,8,8
8,Corinthians,17,11,11,0,7,9
9,Fluminense,17,10,12,-2,7,10
10,Bahia,17,18,22,-4,6,11
11,Santos,16,15,16,-1,4,12
12,Juventude,16,9,14,-5,4,13
13,Internacional,14,12,18,-6,5,14
14,Sport,11,7,11,-4,5,15
15,São Paulo,11,9,17,-8,6,16
16,América-MG,10,10,18,-8,4,17
17,Cuiabá,9,11,15,-4,5,18
18,Grêmio,7,6,13,-7,5,19
19,Chapecoense,4,11,24,-13,0,20
