,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,38,26,12,14,13,1
1,Fortaleza,32,27,16,11,8,2
2,Palmeiras,32,27,19,8,4,3
3,Bragantino,31,28,18,10,7,4
4,Flamengo,28,28,16,12,10,5
5,Ceará,24,19,17,2,6,6
6,Corinthians,24,16,15,1,10,7
7,Atlético-GO,24,14,15,-1,9,8
8,Athlético-PR,23,22,19,3,3,9
9,Santos,22,19,19,0,6,10
10,Internacional,22,22,22,0,8,11
11,São Paulo,21,14,19,-5,10,12
12,Juventude,20,13,18,-5,7,13
13,Fluminense,18,13,18,-5,1,14
14,Bahia,18,20,28,-8,1,15
15,Cuiabá,17,15,16,-1,8,16
16,Sport,15,8,14,-6,5,17
17,América-MG,15,13,22,-9,6,18
18,Grêmio,13,11,17,-6,7,19
19,Chapecoense,6,14,29,-15,2,20
