,mandante,visitante,odds_mandante,odds_empate,odds_visitante
1,Bahia,Ceará,2.13,3.27,3.63
3,Bragantino,Sport,1.53,4.15,6.44
4,Athletico-PR,Santos,2.18,3.24,3.55
5,Flamengo,Atlético-MG,2.28,3.46,3.13
6,Juventude,Bahia,2.65,3.04,2.89
7,América-MG,Fortaleza,2.5,3.21,2.95
8,Ceará,Fluminense,2.5,3.0,3.11
9,Grêmio,Palmeiras,3.03,3.24,2.42
10,São Paulo,Internacional,2.15,3.31,3.64
11,Sport,Atlético-GO,2.47,2.97,3.21
12,Cuiabá,Bragantino,3.16,3.19,2.36
13,Corinthians,Chapecoense,1.38,4.8,8.48
