,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,45,32,13,19,8,1
1,Palmeiras,38,32,23,9,6,2
2,Flamengo,34,35,18,17,7,3
3,Bragantino,33,31,22,9,5,4
4,Fortaleza,33,29,23,6,2,5
5,Corinthians,30,20,18,2,9,6
6,Internacional,29,24,22,2,8,7
7,Fluminense,28,21,22,-1,11,8
8,Athlético-PR,27,25,24,1,4,9
9,Atlético-GO,26,16,18,-2,3,10
10,Cuiabá,25,21,20,1,11,11
11,Ceará,25,19,21,-2,2,12
12,São Paulo,25,18,23,-5,7,13
13,Santos,24,20,25,-5,3,14
14,Bahia,23,25,33,-8,5,15
15,América-MG,22,18,23,-5,7,16
16,Juventude,22,17,24,-7,3,17
17,Grêmio,19,14,18,-4,9,18
18,Sport,17,8,18,-10,2,19
19,Chapecoense,10,17,34,-17,5,20
