,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 1, 'DS': 8, 'FC': 4, 'FS': 8, 'PI': 53, 'SG': 2}",87225,12,293,3,7,0.5,7.71,-0.55,2.47,8,pedro-henrique,Pedro Henrique,P. Henrique,Pedro Henrique Ribeiro Gonçalves,https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png,Provável
1,{},37245,12,354,6,7,5.13,9.19,0.4,3.45,12,guto-ferreira,Guto Ferreira,G. Ferreira,Augusto Sérgio Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,Provável
2,"{'CA': 3, 'DS': 6, 'FC': 23, 'FD': 2, 'FF': 4, 'FS': 16, 'FT': 1, 'G': 2, 'I': 5, 'PI': 47}",80076,12,373,5,2,-0.7,7.69,-1.51,1.26,11,ze-roberto,Zé Roberto,Z. Roberto,José Roberto Assunção de Araújo Filho,https://s.glbimg.com/es/sde/f/2021/04/20/c2fbbd910eaadd1b3c8bebd0f5fc57bb_FORMATO.png,Dúvida
3,{},82792,12,280,6,7,3.88,13.72,0.22,5.01,12,mauricio-barbieri,Maurício Barbieri,M. Barbieri,Maurício Nogueira Barbieri,https://s.glbimg.com/es/sde/f/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png,Provável
4,"{'A': 3, 'CA': 4, 'DS': 19, 'FC': 17, 'FD': 3, 'FF': 9, 'FS': 13, 'G': 1, 'PI': 80}",78435,12,262,5,6,13.5,9.27,3.11,3.86,9,vitinho,Vitinho,Vitinho,Victor Vinícius Coelho dos Santos,https://s.glbimg.com/es/sde/f/2021/05/01/4fafe8587e4964a63ebac8db0a7335c5_FORMATO.png,Nulo
5,"{'DS': 2, 'FC': 7, 'FD': 2, 'FS': 7, 'I': 1, 'PI': 14}",92696,12,293,5,6,-0.2,5.35,-0.05,0.31,8,renato-kayzer,Renato Kayzer,R. Kayzer,Renato Kayzer de Souza,https://s.glbimg.com/es/sde/f/2021/05/02/6f855c82dac6b57f92d9201fff45aef8_FORMATO.png,Nulo
6,{},39850,12,327,6,7,2.49,6.01,0.09,3.3,7,vagner-mancini,Vagner Mancini,V. Mancini,Vagner Carmo Mancini,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,Provável
7,"{'DS': 7, 'FC': 4, 'FD': 2, 'FF': 4, 'FS': 4, 'G': 1, 'PI': 40, 'SG': 3}",38394,12,293,3,7,0.0,10.27,0.0,3.52,9,thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,Provável
8,"{'DS': 25, 'FC': 11, 'FF': 1, 'FS': 5, 'PI': 68, 'SG': 4}",38750,12,262,2,7,6.1,7.8,0.86,3.6,10,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,https://s.glbimg.com/es/sde/f/2021/05/01/d86e6ac0aeabadf61f4625bb2f705863_FORMATO.png,Provável
9,"{'DS': 6, 'FC': 2, 'FD': 1, 'FF': 3, 'FS': 4, 'G': 1, 'PI': 62, 'SG': 2}",71602,12,327,2,2,-0.7,5.4,-0.18,2.8,8,joao-paulo,João Paulo,J. Paulo,João Paulo Gomes da Costa,https://s.glbimg.com/es/sde/f/2021/06/04/71c98de1e3ed4f97ef1a68c10b697126_FORMATO.png,Dúvida
10,"{'CA': 1, 'DE': 33, 'DP': 1, 'DS': 1, 'GS': 12, 'SG': 5}",71571,12,373,1,7,2.0,16.86,0.05,4.73,11,fernando-miguel,Fernando Miguel,F. Miguel,Fernando Miguel Kaufmann,https://s.glbimg.com/es/sde/f/2021/04/20/88ab80496dcd025f8e23875c60ede171_FORMATO.png,Provável
11,"{'DE': 8, 'FS': 1, 'GS': 1, 'SG': 1}",71631,12,275,1,7,6.0,15.61,-2.84,6.25,2,weverton,Weverton,Weverton,Weverton Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/04/30/33d63334ddcba3f0e0150bb2c5aadd75_FORMATO.png,Provável
12,"{'A': 5, 'CA': 2, 'DS': 12, 'FC': 10, 'FD': 10, 'FF': 17, 'FS': 18, 'G': 3, 'PI': 105}",95799,12,280,5,7,6.5,16.37,1.1,6.34,12,artur,Artur,Artur,Artur Victor Guimarães,https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png,Provável
13,"{'CA': 1, 'DS': 20, 'FC': 2, 'FD': 1, 'FF': 1, 'FS': 2, 'PI': 34, 'SG': 2}",97867,12,280,3,7,-2.0,7.59,-2.49,3.8,7,leo-ortiz,Léo Ortiz,L. Ortiz,Leonardo Rech Ortiz,https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png,Provável
14,"{'A': 2, 'CA': 1, 'DS': 38, 'FC': 17, 'FD': 1, 'FF': 4, 'FS': 25, 'PI': 52}",92496,12,280,4,6,2.2,8.26,-0.7,5.46,9,raul,Raul,Raul,Raul Lô Gonçalves,https://s.glbimg.com/es/sde/f/2020/08/28/8c0a624b6d2595beaf51682261e51ccd_FORMATO.png,Nulo
