,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,2,64.94039682539682,1,59.03222222222222,3,70.84857142857142,1
1,5,56.05826388888889,2,47.01777777777778,6,65.09875,2
2,0,54.913125,3,60.51625,1,49.31,5
3,1,51.406666666666666,4,59.528888888888886,2,43.28444444444444,9
4,3,50.823499999999996,5,50.346999999999994,4,51.300000000000004,3
5,13,43.935,6,39.685,14,48.184999999999995,6
6,12,42.560625,7,39.69625,13,45.425,8
7,16,42.316388888888895,8,33.647777777777776,17,50.98500000000001,4
8,6,42.23166666666667,9,46.87333333333333,7,37.59,10
9,11,38.652499999999996,10,41.2375,12,36.067499999999995,11
10,8,38.59590277777778,11,43.44625,9,33.745555555555555,12
11,4,38.514375,12,48.57000000000001,5,28.45875,18
12,10,37.901875,13,42.58,11,33.223749999999995,13
13,19,37.52293650793651,14,27.531428571428574,20,47.51444444444444,7
14,9,37.379875,15,43.13375,10,31.625999999999998,16
15,15,35.15833333333333,16,37.99888888888889,16,32.31777777777777,14
16,7,34.94269841269841,17,43.81111111111111,8,26.074285714285715,19
17,17,32.45166666666667,18,32.589999999999996,18,32.31333333333333,15
18,14,31.35878571428572,19,39.21900000000001,15,23.49857142857143,20
19,18,31.127875000000003,20,32.16875,19,30.087,17
