,clube,ranking_clube,fase
0,Palmeiras,1,100.0
1,Atlético-MG,2,100.0
2,Fortaleza,3,80.0
3,Flamengo,6,60.0
4,Ceará,7,60.0
5,Cuiabá,15,53.33
6,Fluminense,11,46.67
7,Corinthians,10,46.67
8,Athlético-PR,5,46.67
9,São Paulo,17,40.0
10,Bahia,9,40.0
11,Bragantino,4,40.0
12,Internacional,14,33.33
13,Atlético-GO,8,33.33
14,Grêmio,19,33.33
15,Sport,16,33.33
16,Santos,12,26.67
17,América-MG,18,26.67
18,Juventude,13,26.67
19,Chapecoense,20,0.0
