,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 1, 'CA': 1, 'DS': 11, 'FC': 20, 'FD': 9, 'FF': 7, 'FS': 25, 'FT': 3, 'G': 3, 'I': 2, 'PI': 117, 'PP': 1}",61033,19,265,4,7,-3.9,5.36,-0.99,2.74,18,rodriguinho,Rodriguinho,Rodriguinho,Rodrigo Eduardo Costa Marinho,https://s.glbimg.com/es/sde/f/2021/04/19/d6687890f987db8ea2113e45c58584f1_FORMATO.png,Provável
1,"{'A': 6, 'CA': 2, 'DS': 15, 'FC': 12, 'FD': 11, 'FF': 21, 'FS': 24, 'G': 3, 'PI': 134}",95799,19,280,5,7,0.0,15.31,0.0,5.47,16,artur,Artur,Artur,Artur Victor Guimarães,https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png,Provável
2,"{'A': 1, 'CA': 3, 'DS': 11, 'FC': 29, 'FD': 7, 'FF': 18, 'FS': 20, 'G': 8, 'I': 5, 'PI': 58}",61188,19,265,5,7,0.0,13.53,0.0,4.66,18,gilberto,Gilberto,Gilberto,Gilberto Oliveira Souza Júnior,https://s.glbimg.com/es/sde/f/2021/04/19/084597dfc92b63b3485d5ed7b75cdfa6_FORMATO.png,Provável
3,"{'A': 5, 'CA': 7, 'DS': 15, 'FC': 20, 'FD': 7, 'FF': 5, 'FS': 44, 'FT': 2, 'G': 1, 'I': 8, 'PI': 220}",81798,19,265,5,5,5.6,10.33,1.32,2.26,17,rossi,Rossi,Rossi,Rosicley Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/04/19/7d895a5c5d4a6d56fb3ce7566c6b0fd6_FORMATO.png,Contundido
4,"{'A': 1, 'CA': 1, 'DS': 30, 'FC': 13, 'FD': 3, 'FF': 6, 'FS': 16, 'I': 1, 'PC': 1, 'PI': 152, 'SG': 2}",68808,19,265,2,7,1.0,7.39,-0.4,2.59,14,nino-paraiba,Nino Paraíba,N. Paraíba,Severino do Ramo Clementino da Silva,https://s.glbimg.com/es/sde/f/2021/04/19/ca9f764ab6737639cb0b1773cb5cbc1c_FORMATO.png,Provável
5,"{'DS': 6, 'FC': 15, 'FD': 3, 'FF': 12, 'FS': 12, 'FT': 1, 'G': 3, 'I': 5, 'PI': 32}",94286,19,315,5,7,9.2,6.89,0.93,2.29,17,perotti,Perotti,Perotti,Pedro Henrique Perotti,https://s.glbimg.com/es/sde/f/2021/03/23/17acb053b61edf1d764249f524bbc93e_FORMATO.png,Provável
6,{},38231,19,277,5,6,0.0,6.0,0.0,0.0,0,diego-tardelli,Diego Tardelli,D. Tardelli,Diego Tardelli Martins,https://s.glbimg.com/es/sde/f/2021/08/27/3054f90a321ef60af993bdedc9f1338d_FORMATO.png,Nulo
7,"{'A': 2, 'CA': 1, 'DS': 41, 'FC': 20, 'FD': 1, 'FF': 4, 'FS': 28, 'PI': 64}",92496,19,280,4,5,0.0,7.71,0.0,4.63,11,raul,Raul,Raul,Raul Lô Gonçalves,https://s.glbimg.com/es/sde/f/2020/08/28/8c0a624b6d2595beaf51682261e51ccd_FORMATO.png,Contundido
8,{},82792,19,280,6,7,0.0,13.47,0.0,4.63,17,mauricio-barbieri,Maurício Barbieri,M. Barbieri,Maurício Nogueira Barbieri,https://s.glbimg.com/es/sde/f/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png,Provável
9,"{'CA': 1, 'DE': 52, 'FS': 3, 'GS': 14, 'SG': 5}",93882,19,280,1,7,0.0,9.53,0.0,4.17,15,cleiton,Cleiton,Cleiton,Cleiton Schwengber,https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png,Provável
10,"{'DS': 2, 'FF': 1, 'PI': 3}",82564,19,315,3,6,0.0,3.35,0.0,0.83,3,laercio,Laércio,Laércio,Laércio Soldá,https://s.glbimg.com/es/sde/f/2021/06/04/258396cfb81349c8a107e9d5b3f074cd_FORMATO.png,Nulo
