,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 4, 'CA': 1, 'DS': 2, 'FC': 11, 'FD': 6, 'FF': 15, 'FS': 26, 'FT': 3, 'G': 2, 'I': 6, 'PI': 40, 'PS': 1}",39148,8,282,5,7,16.3,22.23,2.31,8.21,8,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png,Provável
1,"{'A': 1, 'CA': 1, 'DS': 5, 'FC': 7, 'FD': 5, 'FF': 2, 'FS': 10, 'FT': 1, 'G': 1, 'I': 1, 'PI': 55}",61033,8,265,4,2,9.0,6.46,0.76,3.15,7,rodriguinho,Rodriguinho,Rodriguinho,Rodrigo Eduardo Costa Marinho,https://s.glbimg.com/es/sde/f/2021/04/19/d6687890f987db8ea2113e45c58584f1_FORMATO.png,Dúvida
2,"{'A': 1, 'DS': 9, 'FC': 7, 'FD': 2, 'FF': 10, 'FS': 12, 'I': 5, 'PI': 33, 'PS': 1}",90264,8,327,5,7,4.7,7.36,0.53,3.16,7,rodolfo-jose,Rodolfo José,R. José,Rodolfo José da Silva Bardella,https://s.glbimg.com/es/sde/f/2021/06/04/7a6c7a20ebefb1d7e3fc2038c8e83e0c_FORMATO.png,Provável
3,{},42411,8,282,6,7,7.25,11.47,0.91,4.42,8,cuca,Cuca,Cuca,Alexi Stival,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,Provável
4,"{'DS': 6, 'FC': 4, 'FF': 3, 'FS': 2, 'G': 1, 'PI': 29, 'SG': 3}",38394,8,293,3,2,-1.3,9.94,-2.06,3.93,7,thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,Dúvida
5,"{'CA': 1, 'DS': 15, 'FC': 8, 'FD': 1, 'FF': 2, 'FS': 1, 'G': 1, 'PI': 41}",93790,8,373,4,7,12.7,6.01,2.72,2.31,7,marlon-freitas,Marlon Freitas,M. Freitas,Marlon Rodrigues Freitas,https://s.glbimg.com/es/sde/f/2021/05/01/441dbd3fa5dc62d8f397990770aa1344_FORMATO.png,Provável
6,"{'CA': 1, 'DS': 10, 'FC': 5, 'FD': 2, 'FF': 2, 'FS': 3, 'PI': 16, 'SG': 3}",73800,8,262,3,7,5.5,11.27,0.24,4.88,5,rodrigo-caio,Rodrigo Caio,R. Caio,Rodrigo Caio Coquette Russo,https://s.glbimg.com/es/sde/f/2021/05/01/361e833ec8151b521da956148bee92e5_FORMATO.png,Provável
7,"{'DE': 18, 'DS': 1, 'GS': 8, 'SG': 3}",72294,8,282,1,7,1.0,10.01,-0.5,3.25,8,everson,Everson,Everson,Everson Felipe Marques Pires,https://s.glbimg.com/es/sde/f/2021/05/02/2eff4cdfd58d4f859979ef83bbe1ad06_FORMATO.png,Provável
8,"{'DE': 7, 'FS': 1, 'GS': 1}",71631,8,275,1,6,0.0,18.45,0.0,6.5,1,weverton,Weverton,Weverton,Weverton Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/04/30/33d63334ddcba3f0e0150bb2c5aadd75_FORMATO.png,Nulo
9,"{'DE': 15, 'FS': 1, 'GS': 5, 'SG': 2}",38509,8,262,1,7,0.0,14.22,0.0,4.1,5,diego-alves,Diego Alves,D. Alves,Diego Alves Carreira,https://s.glbimg.com/es/sde/f/2021/05/01/f3e9b15ef84f4d038e6cfd79171fab69_FORMATO.png,Provável
