,clube,P
0,Atlético-MG,68.71988121325838
1,Flamengo,61.92709266961573
2,Palmeiras,61.371699641318884
3,Bragantino,56.311088725469325
4,Corinthians,55.9523815787672
5,Fortaleza,55.87267436642607
6,Fluminense,52.28301632379571
7,Internacional,52.24622727767781
8,Athlético-PR,49.84511900849326
9,São Paulo,49.00322337343628
10,Santos,47.79564822133161
11,Ceará,45.5136521470294
12,Atlético-GO,44.57201603954831
13,Bahia,43.87964544069966
14,Cuiabá,42.40869682679561
15,Grêmio,40.31947505979252
16,Juventude,40.184067135172256
17,Sport,37.48189712145361
18,América-MG,36.53730550525026
19,Chapecoense,30.282672065019874
