,clube,xGA_geral
0,Atlético-MG,1.5965169628870002
1,São Paulo,1.7859265247764526
2,Flamengo,1.8028088419851795
3,Fortaleza,2.0752283416974167
4,Corinthians,2.091422605520801
5,Juventude,2.147668922211705
6,Grêmio,2.154162848073694
7,América-MG,2.1662734451545784
8,Fluminense,2.194894149902579
9,Internacional,2.2653936902308542
10,Santos,2.3111411410336986
11,Bahia,2.3695640648525167
12,Ceará,2.3707864967383165
13,Palmeiras,2.445045932334024
14,Athlético-PR,2.4500552299088705
15,Cuiabá,2.5224342576609735
16,Atlético-GO,2.70842433417642
17,Sport,2.7396155352879816
18,Bragantino,2.7462784105880402
19,Chapecoense,3.012014305792035
20,,
