,mandante,visitante,odds_mandante,odds_empate,odds_visitante
1,Internacional,São Paulo,2.81,3.05,2.71
3,Grêmio,Internacional,2.43,2.92,3.36
4,Palmeiras,Santos,1.79,3.66,4.74
5,Athletico-PR,Bragantino,2.57,2.97,3.14
6,América-MG,Atlético-MG,4.01,3.62,1.9
7,São Paulo,Bahia,1.87,3.31,4.66
8,Sport,Fluminense,3.2,3.09,2.4
9,Juventude,Atlético-GO,2.62,3.02,2.9
10,Cuiabá,Ceará,3.03,2.82,2.71
11,Flamengo,Chapecoense,1.31,5.48,9.3
12,Fortaleza,Corinthians,2.34,3.23,3.15
