,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Flamengo,79.26666666666667,1,73.01166666666667,1,65.455,1
1,Atlético-MG,64.76333333333334,2,60.52833333333333,5,49.52666666666667,2
2,Santos,57.525,3,59.56166666666666,7,42.96333333333333,5
3,Bahia,52.56333333333333,4,59.27166666666667,8,42.945,6
4,Fluminense,51.32833333333334,5,60.98333333333333,4,33.21833333333333,13
5,São Paulo,48.30833333333334,6,48.541666666666664,13,29.47333333333334,15
6,Corinthians,45.673333333333325,7,64.2,3,25.36666666666667,18
7,Juventude,44.85833333333333,8,50.56666666666666,12,33.33,12
8,Sport,44.63666666666666,9,65.76333333333334,2,30.383333333333336,14
9,Palmeiras,44.32666666666666,10,60.434999999999995,6,46.98166666666666,3
10,América-MG,44.126666666666665,11,54.94499999999999,10,40.42666666666667,8
11,Ceará,43.925000000000004,12,50.74333333333334,11,42.21666666666667,7
12,Atlético-GO,42.745000000000005,13,48.23499999999999,14,36.291666666666664,11
13,Cuiabá,42.41833333333334,14,44.05500000000001,17,37.45333333333333,9
14,Grêmio,38.309999999999995,15,55.61833333333333,9,20.436666666666667,20
15,Bragantino,32.23666666666666,16,47.145,15,36.455000000000005,10
16,Athlético-PR,32.199999999999996,17,34.10833333333334,19,43.69166666666666,4
17,Internacional,24.92833333333333,18,41.61833333333333,18,24.60166666666667,19
18,Fortaleza,22.566666666666663,19,47.00333333333333,16,28.11,17
19,Chapecoense,20.801666666666666,20,27.638333333333335,20,29.146666666666665,16
