,clube,P
0,Atlético-MG,73.65765200121209
1,Palmeiras,64.87052640229481
2,Flamengo,63.80545414179446
3,Fortaleza,57.751308943986345
4,Corinthians,56.512770098476985
5,Bragantino,55.16892323557378
6,Internacional,52.878517895153045
7,Fluminense,51.35052654654226
8,Athlético-PR,49.01312796711933
9,América-MG,46.92922962074975
10,Ceará,46.75859126309186
11,São Paulo,45.91239997148696
12,Atlético-GO,45.107924161102474
13,Santos,44.34344043313559
14,Bahia,43.54274904607548
15,Cuiabá,42.08725842746223
16,Juventude,39.04537790582403
17,Sport,37.58941385376544
18,Grêmio,36.139667923496866
19,Chapecoense,23.244894572861405
