,clube,P
0,Atlético-MG,70.77799952448817
1,Flamengo,63.58162262665962
2,Palmeiras,59.254767880631256
3,Fortaleza,59.099719099031496
4,Bragantino,57.322900374825885
5,Corinthians,55.55105549744503
6,Internacional,53.974807416640246
7,Fluminense,50.98500661198377
8,Athlético-PR,49.10548969749272
9,São Paulo,47.22607197728421
10,Atlético-GO,45.967310108960554
11,Santos,45.029695958487714
12,Ceará,43.931219210000286
13,Cuiabá,42.205610410652774
14,Bahia,41.55811967271632
15,América-MG,40.570779236693596
16,Sport,39.76224186850764
17,Grêmio,38.983042673467175
18,Juventude,38.16908735919463
19,Chapecoense,24.930576290697417
