,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'CA': 3, 'DE': 81, 'DP': 2, 'DS': 1, 'FS': 3, 'GS': 21, 'SG': 12}",71571,28,373,1,7,10.5,18.3,1.31,5.22,25,fernando-miguel,Fernando Miguel,F. Miguel,Fernando Miguel Kaufmann,https://s.glbimg.com/es/sde/f/2021/04/20/88ab80496dcd025f8e23875c60ede171_FORMATO.png,Provável
1,"{'A': 2, 'CA': 2, 'DS': 52, 'FC': 23, 'FD': 3, 'FF': 8, 'FS': 29, 'I': 2, 'PC': 1, 'PI': 223, 'SG': 7}",68808,28,265,2,7,7.9,9.31,0.31,3.9,21,nino-paraiba,Nino Paraíba,N. Paraíba,Severino do Ramo Clementino da Silva,https://s.glbimg.com/es/sde/f/2021/04/19/ca9f764ab6737639cb0b1773cb5cbc1c_FORMATO.png,Provável
2,{},42411,28,282,6,7,4.34,12.48,-0.12,4.66,27,cuca,Cuca,Cuca,Alexi Stival,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,Provável
3,"{'A': 1, 'DS': 21, 'FC': 9, 'FD': 1, 'FF': 1, 'FS': 18, 'PC': 1, 'PI': 111, 'SG': 4}",87225,28,293,3,7,0.0,7.67,0.0,2.12,19,pedro-henrique,Pedro Henrique,P. Henrique,Pedro Henrique Ribeiro Gonçalves,https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png,Provável
4,{},70323,28,1371,6,7,2.06,4.42,-0.43,3.27,18,jorginho,Jorginho,Jorginho,Jorge Amorim de Oliveira Campos,https://s.glbimg.com/es/sde/f/2021/04/27/ed89bb6662d329721f0b34029b57a978_FORMATO.png,Provável
5,"{'A': 7, 'CA': 2, 'CV': 1, 'DS': 20, 'FC': 13, 'FD': 15, 'FF': 22, 'FS': 35, 'G': 7, 'PI': 173}",95799,28,280,5,7,8.9,16.32,-1.14,6.25,21,artur,Artur,Artur,Artur Victor Guimarães,https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png,Provável
6,"{'CA': 8, 'DS': 14, 'FC': 42, 'FD': 5, 'FF': 11, 'FS': 42, 'FT': 1, 'G': 5, 'I': 13, 'PI': 111}",80076,28,373,5,7,1.9,7.86,0.45,1.54,25,ze-roberto,Zé Roberto,Z. Roberto,José Roberto Assunção de Araújo Filho,https://s.glbimg.com/es/sde/f/2021/04/20/c2fbbd910eaadd1b3c8bebd0f5fc57bb_FORMATO.png,Provável
7,"{'CA': 2, 'DE': 89, 'FS': 6, 'GS': 24, 'SG': 7}",93882,28,280,1,7,10.0,10.48,0.74,4.29,23,cleiton,Cleiton,Cleiton,Cleiton Schwengber,https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png,Provável
8,"{'A': 2, 'CA': 4, 'DS': 13, 'FC': 37, 'FD': 12, 'FF': 25, 'FS': 31, 'G': 10, 'I': 6, 'PI': 96}",61188,28,265,5,7,10.2,14.74,1.16,4.55,25,gilberto,Gilberto,Gilberto,Gilberto Oliveira Souza Júnior,https://s.glbimg.com/es/sde/f/2021/04/19/084597dfc92b63b3485d5ed7b75cdfa6_FORMATO.png,Provável
9,"{'A': 2, 'CA': 3, 'DS': 62, 'FC': 20, 'FD': 2, 'FF': 2, 'FS': 12, 'I': 2, 'PI': 131, 'SG': 9}",38750,28,262,2,7,0.0,9.42,0.0,4.86,20,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,https://s.glbimg.com/es/sde/f/2021/05/01/d86e6ac0aeabadf61f4625bb2f705863_FORMATO.png,Provável
10,"{'A': 1, 'CA': 5, 'DS': 10, 'FC': 5, 'FD': 14, 'FF': 19, 'FS': 24, 'G': 2, 'I': 2, 'PI': 155}",71162,28,354,4,7,0.0,10.8,0.0,2.0,23,vina,Vina,Vina,Vinícius Goes Barbosa de Souza,https://s.glbimg.com/es/sde/f/2021/06/02/03a9bd95b9964e9fa07bbf7412a7a03c_FORMATO.png,Provável
11,"{'A': 2, 'CA': 3, 'DS': 27, 'FC': 12, 'FD': 1, 'FF': 2, 'FS': 9, 'PI': 78, 'SG': 5}",97867,28,280,3,7,7.9,8.76,0.41,2.93,17,leo-ortiz,Léo Ortiz,L. Ortiz,Leonardo Rech Ortiz,https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png,Provável
12,"{'A': 1, 'CA': 1, 'DS': 7, 'FC': 22, 'FD': 5, 'FF': 5, 'FS': 15, 'G': 4, 'I': 2, 'PI': 34}",92696,28,293,5,6,0.0,6.05,0.0,2.0,22,renato-kayzer,Renato Kayzer,R. Kayzer,Renato Kayzer de Souza,https://s.glbimg.com/es/sde/f/2021/05/02/6f855c82dac6b57f92d9201fff45aef8_FORMATO.png,Nulo
13,"{'A': 2, 'CV': 1, 'DS': 8, 'FC': 7, 'FD': 3, 'FF': 8, 'FS': 3, 'FT': 1, 'G': 2, 'I': 2, 'PI': 31}",69102,28,282,5,6,1.5,6.22,-0.45,3.99,9,vargas,Vargas,Vargas,Eduardo Jesús Vargas Rojas,https://s.glbimg.com/es/sde/f/2021/04/23/d29b68b56d66316606b2224987ab6846_FORMATO.png,Nulo
14,"{'A': 1, 'CA': 1, 'DS': 11, 'FC': 21, 'FD': 10, 'FF': 10, 'FS': 28, 'FT': 3, 'G': 3, 'I': 2, 'PI': 121, 'PP': 1}",61033,28,265,4,7,2.0,5.95,0.29,2.14,25,rodriguinho,Rodriguinho,Rodriguinho,Rodrigo Eduardo Costa Marinho,https://s.glbimg.com/es/sde/f/2021/04/19/d6687890f987db8ea2113e45c58584f1_FORMATO.png,Provável
15,"{'DE': 38, 'FS': 5, 'GS': 16, 'SG': 5}",71631,28,275,1,7,-1.0,13.67,-1.74,3.54,14,weverton,Weverton,Weverton,Weverton Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/04/30/33d63334ddcba3f0e0150bb2c5aadd75_FORMATO.png,Provável
16,{},37245,28,265,6,7,7.73,9.99,0.59,3.94,22,guto-ferreira,Guto Ferreira,G. Ferreira,Augusto Sérgio Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,Provável
17,"{'DS': 5, 'FC': 5, 'FD': 5, 'FF': 1, 'FS': 8, 'I': 1, 'PI': 23}",71691,28,265,4,6,0.0,3.41,0.0,0.59,18,oscar-ruiz,Óscar Ruíz,Ã. Ruíz,Óscar Ramón Ruiz Roa,https://s.glbimg.com/es/sde/f/2021/04/19/e850cf4d6cfc215e774c04bf144994e4_FORMATO.png,Nulo
18,"{'CA': 1, 'DS': 21, 'FC': 9, 'FD': 3, 'FF': 4, 'FS': 7, 'I': 1, 'PI': 35, 'PS': 1, 'SG': 5}",72359,28,354,3,7,5.1,7.11,0.63,4.25,11,luiz-otavio,Luiz Otávio,L. Otávio,Luiz Otávio Anacleto Leandro,https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png,Provável
19,"{'CA': 1, 'DS': 4, 'FC': 2, 'FD': 2, 'FF': 1, 'FS': 2, 'PI': 14}",38231,28,277,5,7,4.1,5.14,0.7,0.63,6,diego-tardelli,Diego Tardelli,D. Tardelli,Diego Tardelli Martins,https://s.glbimg.com/es/sde/f/2021/08/27/3054f90a321ef60af993bdedc9f1338d_FORMATO.png,Provável
20,"{'A': 5, 'CA': 7, 'DS': 15, 'FC': 20, 'FD': 7, 'FF': 5, 'FS': 44, 'FT': 2, 'G': 1, 'I': 8, 'PI': 220}",81798,28,265,5,5,0.0,10.33,0.0,2.26,17,rossi,Rossi,Rossi,Rosicley Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/04/19/7d895a5c5d4a6d56fb3ce7566c6b0fd6_FORMATO.png,Contundido
21,"{'A': 4, 'CA': 4, 'DS': 32, 'FC': 17, 'FD': 9, 'FF': 11, 'FS': 23, 'FT': 2, 'I': 1, 'PC': 1, 'PI': 181, 'SG': 7}",86264,28,373,2,6,0.0,12.98,0.0,4.63,19,natanael,Natanael,Natanael,Natanael Batista Pimenta,https://s.glbimg.com/es/sde/f/2021/05/01/8d7a42fcd53a8f290188c60783071a94_FORMATO.png,Nulo
