,clube,P
0,Palmeiras,62.79874948073031
1,Athlético-PR,61.59626098126027
2,Bragantino,60.27205339639474
3,Atlético-MG,59.2915079124179
4,Flamengo,58.54781476383776
5,Fluminense,54.24221001802393
6,Corinthians,53.41516925831719
7,Santos,53.13132203163513
8,Fortaleza,52.32915957126055
9,Internacional,50.17493091247583
10,São Paulo,48.79230967653957
11,Bahia,48.474639163074855
12,Ceará,47.78475324553524
13,Atlético-GO,44.51832067799091
14,Grêmio,43.187140901857376
15,Juventude,41.29069084013426
16,Sport,40.43712925992652
17,Chapecoense,36.09322327461135
18,América-MG,34.12729972433955
19,Cuiabá,32.90356015908958
