,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Ceará,Palmeiras,2.92,3.13,2.58
4,Fluminense,Flamengo,4.09,3.54,1.92
5,Fortaleza,Athletico-PR,1.84,3.46,4.55
6,Atlético-MG,Cuiabá,1.43,4.49,7.89
7,Internacional,Corinthians,2.14,3.3,3.66
8,Bragantino,São Paulo,2.2,3.25,3.47
10,Atlético-GO,Grêmio,2.72,3.15,2.74
11,Palmeiras,Sport,1.54,4.07,6.32
12,Bahia,Ceará,2.27,3.05,3.35
13,Santos,Fluminense,2.36,3.03,3.12
