,apelido,atleta_id,clube,posicao,media_casa,media_fora
0,0,82876,Sport,MEI,1.6,1.35
1,Abel Ferreira,110506,Palmeiras,TEC,4.425,4.2749999999999995
2,Abel Hernández,74159,Fluminense,ATA,-1.1,1.385714285714286
3,Abner Vinícius,104513,Athlético-PR,LAT,1.5750000000000006,2.275
4,Ademir,101314,América-MG,ATA,5.466666666666666,1.64
5,Aderlan,88423,Bragantino,LAT,4.566666666666666,7.12
6,Adson,111682,Corinthians,MEI,7.066666666666666,3.6
7,Airton,106107,Ceará,ATA,0.0,0.2
8,Alan Ruschel,63110,América-MG,LAT,3.0500000000000003,0.22857142857142865
9,Alan Santos,70132,Chapecoense,MEI,2.5,0.0
10,Alerrandro,101715,Bragantino,ATA,1.92,6.8
11,Alison,73974,Santos,MEI,1.45,0.25
12,Alisson,81845,Grêmio,MEI,4.525,1.2
13,Allan,96652,Atlético-MG,MEI,0.9166666666666666,1.8142857142857145
14,Alyson,102330,Juventude,LAT,-0.16666666666666666,2.9
15,Alê,86388,América-MG,MEI,2.5,2.242857142857143
16,Anderson Conceição,71618,Cuiabá,ZAG,-1.7333333333333334,0.9
17,Anderson Jesus,90700,América-MG,ZAG,3.2166666666666672,0.8
18,Anderson Leite,87691,Chapecoense,MEI,4.166666666666666,3.7600000000000002
19,André,68690,Sport,ATA,1.6600000000000001,1.0625
20,André,107498,Fluminense,MEI,0.6499999999999999,4.475
21,André Luís,92146,Atlético-GO,ATA,1.5285714285714285,2.4799999999999995
22,Anselmo Ramon,69214,Chapecoense,ATA,1.7625,2.0571428571428574
23,António Oliveira,111578,Athlético-PR,TEC,3.652857142857143,3.0714285714285716
24,Araos,102352,Corinthians,MEI,-0.15,0.43999999999999995
25,Arboleda,91573,São Paulo,ZAG,3.9000000000000004,7.6
26,Arnaldo,78497,Atlético-GO,LAT,-0.8,5.471428571428572
27,Arrascaeta,87863,Flamengo,MEI,6.74,8.899999999999999
28,Arthur Gomes,96966,Atlético-GO,ATA,3.7166666666666663,1.7399999999999998
29,Artur,95799,Bragantino,ATA,7.071428571428572,4.257142857142857
30,Auremir,77570,Cuiabá,MEI,2.033333333333333,0.9666666666666668
31,Baralhas,99440,Atlético-GO,MEI,2.7399999999999998,2.6374999999999997
32,Bento,105208,Athlético-PR,GOL,-0.16666666666666666,1.0
33,Benítez,93550,São Paulo,MEI,4.55,-0.875
34,Bobadilla,84342,Fluminense,ATA,0.1,1.2666666666666666
35,Borja,86120,Grêmio,ATA,12.4,-0.5
36,Borrero,106843,Atlético-MG,MEI,0.6,3.46
37,Boschilia,86841,Internacional,MEI,0.22500000000000003,2.0
38,Brenno,100830,Grêmio,GOL,2.5,1.0
39,Breno Lopes,93988,Palmeiras,ATA,3.8199999999999994,4.883333333333334
40,Bruninho,101716,Juventude,MEI,0.5,0.875
41,Bruninho,113558,Bragantino,ATA,-0.2,0.0
42,Bruno Alves,73620,São Paulo,ZAG,3.3666666666666667,1.875
43,Bruno Cortez,72079,Grêmio,LAT,2.1333333333333333,1.5999999999999999
44,Bruno Henrique,90285,Flamengo,ATA,10.8125,4.425
45,Bruno Melo,84339,Fortaleza,LAT,4.175,-0.6
46,Bruno Méndez,103700,Internacional,ZAG,4.475,4.266666666666667
47,Bruno Nazário,81776,América-MG,MEI,-0.54,1.7666666666666666
48,Bruno Pacheco,90061,Ceará,LAT,1.8,2.9375
49,Bruno Rodrigues,92811,São Paulo,ATA,1.4,0.0
50,Bruno Silva,101422,Chapecoense,ATA,-0.07499999999999996,-0.6
51,Bruno Viana,92291,Flamengo,ZAG,6.9,0.25
52,Buiú,88544,Ceará,LAT,1.7166666666666668,4.58
53,Busanello,97537,Chapecoense,LAT,2.86,6.0
54,Caio Paulista,102318,Fluminense,ATA,0.7999999999999999,5.58
55,Caio Vidal,107745,Internacional,ATA,1.0285714285714287,1.3
56,Calebe,109461,Atlético-MG,MEI,0.35,0.8800000000000001
57,Calegari,104276,Fluminense,LAT,4.7,1.9999999999999998
58,Camacho,68770,Santos,MEI,1.16,1.425
59,Camilo,104519,Cuiabá,MEI,1.4833333333333334,1.2200000000000002
60,Cantillo,85315,Corinthians,MEI,3.2571428571428576,0.8
61,Capixaba,94894,Juventude,ATA,1.8166666666666667,1.3833333333333335
62,Carlinhos,63194,Fortaleza,LAT,4.8,6.1
63,Carlos Alberto,106704,América-MG,ATA,1.725,-0.26666666666666666
64,Carlos Eduardo,90917,Athlético-PR,ATA,1.5,0.7999999999999999
65,Carlos Sánchez,81677,Santos,MEI,0.09999999999999992,4.216666666666667
66,Cauan de Almeida,107870,América-MG,TEC,4.75,0.0
67,Cazares,81682,Fluminense,MEI,4.825,-0.3833333333333333
68,Charles,96342,Ceará,MEI,0.04999999999999996,1.0
69,Chico,82407,Juventude,MEI,0.9124999999999999,0.5
70,Chico,99253,Sport,ZAG,11.2,3.5
71,Chrigor,101398,América-MG,ATA,1.3499999999999999,3.875
72,Christian,104502,Athlético-PR,MEI,3.8833333333333333,-0.5333333333333332
73,Claudinho,92630,Bragantino,MEI,2.15,5.0
74,Clayson,83817,Cuiabá,ATA,4.96,0.4857142857142857
75,Cleberson,80281,Juventude,ZAG,2.8,0.7
76,Cleiton,93882,Bragantino,GOL,3.0,4.285714285714286
77,Cléber,104125,Ceará,ATA,6.55,-0.6500000000000001
78,Conti,100943,Bahia,ZAG,2.314285714285714,1.5999999999999999
79,Cristiano,102145,Ceará,ATA,-2.5,0.0
80,Cuca,42411,Atlético-MG,TEC,5.041250000000001,4.40625
81,Cuello,98909,Bragantino,ATA,4.6,1.58
82,Cássio,42234,Corinthians,GOL,2.625,6.125
83,Dado Cavalcanti,73975,Bahia,TEC,3.1655555555555552,3.067142857142857
84,Daniel,93791,Bahia,MEI,0.8999999999999999,3.0
85,Daniel,96468,Internacional,GOL,3.0,6.642857142857143
86,Daniel Alves,38939,São Paulo,LAT,-0.75,3.5666666666666664
87,Daniel Guedes ,88225,Fortaleza,LAT,9.2,-0.5
88,Danilo,107231,Palmeiras,MEI,0.55,3.5666666666666664
89,Danilo Barbosa,86777,Palmeiras,MEI,5.0,2.6750000000000003
90,Danilo Barcelos,84382,Fluminense,LAT,-2.0,5.35
91,Danilo Boza,101431,Santos,ZAG,2.9000000000000004,-0.44999999999999996
92,Danilo Fernandes,69051,Bahia,GOL,-0.5,-5.0
93,Danilo Gomes,106826,Cuiabá,ATA,1.45,3.2
94,Darlan,104593,Grêmio,MEI,1.7000000000000002,-0.7666666666666667
95,David,90309,Fortaleza,ATA,4.685714285714285,2.8428571428571425
96,Dawhan,97780,Juventude,MEI,0.55,1.7
97,Denner,102038,Chapecoense,MEI,-0.2,-1.5
98,Derlan,98945,Chapecoense,ZAG,2.066666666666667,-0.11428571428571425
99,Deyverson,92708,Palmeiras,ATA,1.2428571428571427,5.833333333333332
100,Didi,78237,Juventude,ZAG,4.4,0.4
101,Diego,38909,Flamengo,MEI,1.7,0.8250000000000001
102,Diego,101728,São Paulo,ZAG,3.0749999999999997,3.75
103,Diego Aguirre,73766,Internacional,TEC,4.037999999999999,4.503333333333334
104,Diego Alves,38509,Flamengo,GOL,3.5,3.375
105,Diego Ferreira,91783,América-MG,LAT,2.033333333333333,1.0666666666666667
106,Diego Souza,68911,Grêmio,ATA,2.1666666666666665,0.7249999999999999
107,Diogo Barbosa,70916,Grêmio,LAT,2.4000000000000004,0.019999999999999997
108,Dodô,68727,Atlético-MG,LAT,5.8,2.5
109,Douglas Costa,62020,Grêmio,ATA,-0.13333333333333333,2.25
110,Dudu,68920,Palmeiras,ATA,0.03333333333333333,0.2
111,Dudu,97133,Atlético-GO,LAT,3.4,2.9875
