,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,xG_per_shot,shots_per_goal,clube,eficiência
0,100652,Yuri Alberto,285,8.294411685754644,63,20,11,0.41472058428773223,0.13165732834531182,5.7272727272727275,Internacional,2.7055883142453556
1,39148,Hulk,282,6.056969659686818,64,18,9,0.3364983144270454,0.09464015093260653,7.111111111111111,Atlético-MG,2.9430303403131823
2,61188,Gilberto,265,5.633687163829651,50,21,10,0.2682708173252215,0.11267374327659302,5.0,Bahia,4.366312836170349
3,80196,Yago Pikachu,356,5.474226094215611,42,21,5,0.26067743305788627,0.13033871652894313,8.4,Fortaleza,-0.4742260942156111
4,68952,Marinho,277,5.174332484189987,62,17,3,0.30437249906999925,0.08345697555145141,20.666666666666668,Santos,-2.1743324841899874
5,101314,Ademir,327,5.052398977787771,44,16,6,0.3157749361117357,0.11482724949517661,7.333333333333333,América-MG,0.9476010222122291
6,84817,Robson,356,5.030420960749488,47,21,7,0.23954385527378516,0.10703023320743592,6.714285714285714,Fortaleza,1.9695790392505117
7,101290,Ferreira,284,4.570937377465921,48,17,1,0.26887866926270126,0.09522786203054003,48.0,Grêmio,-3.5709373774659214
8,94509,Raphael Veiga,275,4.410839555523359,49,20,5,0.22054197777616796,0.090017133786191,9.8,Palmeiras,0.589160444476641
9,53148,Ytalo,280,4.3633359571371795,33,14,9,0.31166685408122713,0.13222230173142968,3.6666666666666665,Bragantino,4.6366640428628205
10,102878,Terans,293,4.255104084256515,51,18,5,0.23639467134758416,0.0834334134167944,10.2,Athlético-PR,0.7448959157434851
11,38138,Jô,264,4.1485179689870435,29,16,6,0.2592823730616902,0.1430523437581739,4.833333333333333,Corinthians,1.8514820310129565
12,60825,Felipe Azevedo,327,4.1234931553587835,41,21,3,0.19635681692184684,0.10057300378923863,13.666666666666666,América-MG,-1.1234931553587835
13,94583,Pedro,262,4.122760938233215,34,15,6,0.27485072921554765,0.1212576746539181,5.666666666666667,Flamengo,1.877239061766785
14,87999,Gustavo Scarpa,275,4.060849095174043,53,17,3,0.2388734761867084,0.07661979424856685,17.666666666666668,Palmeiras,-1.060849095174043
15,90309,David,356,4.034828800230804,31,14,4,0.28820205715934316,0.13015576774938079,7.75,Fortaleza,-0.03482880023080437
16,111333,Sorriso,286,4.0053891385599005,39,18,1,0.22252161880888335,0.10270228560410001,39.0,Juventude,-3.0053891385599005
17,99392,Michael,262,3.99330009454893,40,16,6,0.24958125590930813,0.09983250236372325,6.666666666666667,Flamengo,2.00669990545107
18,83433,Patrick,285,3.960484624914235,24,15,3,0.26403230832761565,0.1650201927047598,8.0,Internacional,-0.9604846249142351
19,95799,Artur,280,3.9535376436584726,40,19,5,0.20808092861360383,0.09883844109146181,8.0,Bragantino,1.0464623563415274
20,61033,Rodriguinho,265,3.933504357635848,33,17,3,0.23138260927269694,0.11919710174654086,11.0,Bahia,-0.9335043576358482
21,96340,Lima,354,3.880508777932751,41,17,2,0.2282652222313383,0.09464655555933539,20.5,Ceará,-1.880508777932751
22,71162,Vina,354,3.7507219151975257,46,19,1,0.19740641658934346,0.08153743293907664,46.0,Ceará,-2.7507219151975257
23,96684,Rigoni,276,3.7430380399146914,37,18,4,0.20794655777303842,0.10116319026796464,9.25,São Paulo,0.2569619600853086
24,94068,Ribamar,327,3.6926932960389034,28,12,2,0.3077244413365753,0.13188190342996084,14.0,América-MG,-1.6926932960389034
25,38588,Elton,1371,3.5955898636574246,32,15,6,0.23970599091049496,0.11236218323929452,5.333333333333333,Cuiabá,2.4044101363425754
26,86120,Borja,284,3.581950007273513,30,10,4,0.3581950007273513,0.11939833357578376,7.5,Grêmio,0.41804999272648713
27,90285,Bruno Henrique,262,3.562502937090506,34,13,8,0.27403868746850046,0.10477949814972076,4.25,Flamengo,4.437497062909494
28,102299,Mikael,292,3.5069163330070534,37,17,3,0.20628919605923843,0.09478152251370414,12.333333333333334,Sport,-0.5069163330070534
29,81845,Alisson,284,3.497926799509976,41,14,3,0.24985191425071257,0.08531528779292624,13.666666666666666,Grêmio,-0.4979267995099761
30,83817,Clayson,1371,3.4904698381104913,39,17,2,0.20532175518297008,0.08949922661821773,19.5,Cuiabá,-1.4904698381104913
31,69214,Anselmo Ramon,315,3.443536848562501,25,13,4,0.26488744988942314,0.13774147394250005,6.25,Chapecoense,0.5564631514374989
32,104125,Cléber,354,3.3959479192856494,31,14,2,0.24256770852040352,0.10954670707373063,15.5,Ceará,-1.3959479192856494
33,83257,Gabriel,262,3.3173452984272087,27,9,6,0.36859392204746766,0.12286464068248922,4.5,Flamengo,2.6826547015727913
34,109282,Luiz Henrique,266,3.306350690858929,30,14,4,0.2361679064899235,0.11021168969529763,7.5,Fluminense,0.6936493091410711
35,94286,Perotti,315,3.0061196438468207,22,9,3,0.33401329376075783,0.1366418019930373,7.333333333333333,Chapecoense,-0.006119643846820733
36,71505,Jenison,1371,2.9828250557774663,23,12,4,0.2485687546481222,0.1296880459033681,5.75,Cuiabá,1.0171749442225337
37,100079,Zaracho,282,2.9632274506997014,27,14,3,0.21165910362140725,0.10974916484072968,9.0,Atlético-MG,0.03677254930029861
38,68920,Dudu,275,2.9530951592196244,28,13,1,0.22716116609381726,0.10546768425784372,28.0,Palmeiras,-1.9530951592196244
39,72389,Mike,315,2.8982721657004613,21,11,5,0.26347928779095103,0.13801296027145055,4.2,Chapecoense,2.1017278342995387
40,68690,André,292,2.867092216273809,27,11,1,0.26064474693398265,0.10618860060273366,27.0,Sport,-1.867092216273809
41,38162,Fred,266,2.8594810377587887,22,12,3,0.23829008647989905,0.12997641080721767,7.333333333333333,Fluminense,0.1405189622412113
42,69141,Ricardo Bueno,286,2.8193779442979428,28,9,5,0.3132642160331047,0.10069206943921225,5.6,Juventude,2.1806220557020572
43,68911,Diego Souza,284,2.8135167899856217,22,14,4,0.200965484998973,0.12788712681752826,5.5,Grêmio,1.1864832100143783
