,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,3,62.74625,1,55.5425,4,69.95,1
1,4,58.26142857142857,2,53.76571428571429,5,62.75714285714285,2
2,0,56.43901785714286,3,67.26428571428572,1,45.613749999999996,7
3,1,55.740089285714284,4,58.61142857142856,2,52.868750000000006,4
4,5,54.7375,5,53.075,6,56.39999999999999,3
5,6,43.29151785714285,6,47.168749999999996,7,39.41428571428571,11
6,8,42.83880952380952,7,43.824285714285715,9,41.85333333333333,10
7,2,42.14785714285714,8,56.08857142857143,3,28.207142857142856,18
8,15,41.42696428571428,9,34.88142857142857,16,47.97249999999999,6
9,17,40.71357142857143,10,32.16571428571429,18,49.261428571428574,5
10,14,39.496607142857144,11,35.87571428571429,15,43.1175,9
11,13,37.11401785714287,12,37.40375000000001,14,36.82428571428572,12
12,12,37.08208333333333,13,40.891666666666666,13,33.2725,13
13,7,37.07875000000001,14,44.620000000000005,8,29.537500000000005,16
14,11,36.738392857142856,15,40.99249999999999,12,32.48428571428571,15
15,9,34.601309523809526,16,42.364285714285714,10,26.838333333333335,19
16,19,33.22869047619048,17,23.10166666666667,20,43.355714285714285,8
17,16,32.543125,18,32.47,17,32.61625,14
18,10,31.83083333333333,19,41.21,11,22.451666666666664,20
19,18,29.840625000000003,20,30.390000000000008,19,29.29125,17
