,clube,ranking_clube,fase
0,Atlético-MG,1,100.0
1,Flamengo,2,86.67
2,Ceará,9,66.67
3,Juventude,16,66.67
4,Grêmio,18,60.0
5,Corinthians,4,60.0
6,Fluminense,7,60.0
7,Santos,12,46.67
8,São Paulo,14,46.67
9,América-MG,10,46.67
10,Athlético-PR,13,46.67
11,Internacional,8,40.0
12,Sport,19,40.0
13,Palmeiras,3,40.0
14,Bahia,17,33.33
15,Cuiabá,11,33.33
16,Fortaleza,5,26.67
17,Bragantino,6,20.0
18,Atlético-GO,15,20.0
19,Chapecoense,20,13.33
