,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,xG_per_shot,shots_per_goal,clube,eficiência
0,101290,Ferreira,284,4.570937377465921,48,17,1,0.26887866926270126,0.09522786203054003,48.0,Grêmio,-3.5709373774659214
1,111333,Sorriso,286,4.0053891385599005,39,18,1,0.22252161880888335,0.10270228560410001,39.0,Juventude,-3.0053891385599005
2,68952,Marinho,277,5.174332484189987,62,17,3,0.30437249906999925,0.08345697555145141,20.666666666666668,Santos,-2.1743324841899874
3,60825,Felipe Azevedo,327,4.1234931553587835,41,21,3,0.19635681692184684,0.10057300378923863,13.666666666666666,América-MG,-1.1234931553587835
4,87999,Gustavo Scarpa,275,4.060849095174043,53,17,3,0.2388734761867084,0.07661979424856685,17.666666666666668,Palmeiras,-1.060849095174043
5,83433,Patrick,285,3.960484624914235,24,15,3,0.26403230832761565,0.1650201927047598,8.0,Internacional,-0.9604846249142351
6,80196,Yago Pikachu,356,5.474226094215611,42,21,5,0.26067743305788627,0.13033871652894313,8.4,Fortaleza,-0.4742260942156111
7,90309,David,356,4.034828800230804,31,14,4,0.28820205715934316,0.13015576774938079,7.75,Fortaleza,-0.03482880023080437
8,94509,Raphael Veiga,275,4.410839555523359,49,20,5,0.22054197777616796,0.090017133786191,9.8,Palmeiras,0.589160444476641
9,102878,Terans,293,4.255104084256515,51,18,5,0.23639467134758416,0.0834334134167944,10.2,Athlético-PR,0.7448959157434851
10,101314,Ademir,327,5.052398977787771,44,16,6,0.3157749361117357,0.11482724949517661,7.333333333333333,América-MG,0.9476010222122291
11,95799,Artur,280,3.9535376436584726,40,19,5,0.20808092861360383,0.09883844109146181,8.0,Bragantino,1.0464623563415274
12,38138,Jô,264,4.1485179689870435,29,16,6,0.2592823730616902,0.1430523437581739,4.833333333333333,Corinthians,1.8514820310129565
13,94583,Pedro,262,4.122760938233215,34,15,6,0.27485072921554765,0.1212576746539181,5.666666666666667,Flamengo,1.877239061766785
14,84817,Robson,356,5.030420960749488,47,21,7,0.23954385527378516,0.10703023320743592,6.714285714285714,Fortaleza,1.9695790392505117
15,99392,Michael,262,3.99330009454893,40,16,6,0.24958125590930813,0.09983250236372325,6.666666666666667,Flamengo,2.00669990545107
16,100652,Yuri Alberto,285,8.294411685754644,63,20,11,0.41472058428773223,0.13165732834531182,5.7272727272727275,Internacional,2.7055883142453556
17,39148,Hulk,282,6.056969659686818,64,18,9,0.3364983144270454,0.09464015093260653,7.111111111111111,Atlético-MG,2.9430303403131823
18,61188,Gilberto,265,5.633687163829651,50,21,10,0.2682708173252215,0.11267374327659302,5.0,Bahia,4.366312836170349
19,53148,Ytalo,280,4.3633359571371795,33,14,9,0.31166685408122713,0.13222230173142968,3.6666666666666665,Bragantino,4.6366640428628205
