,clube,P
0,Atlético-MG,70.57029012064464
1,Palmeiras,61.805800449866595
2,Flamengo,60.586779049933924
3,Corinthians,55.58286848083889
4,Fortaleza,55.1249938003767
5,Bragantino,54.631377763250974
6,Internacional,53.53773936406118
7,Fluminense,52.58980558190298
8,Athlético-PR,51.87561881546982
9,São Paulo,48.61809767242484
10,Atlético-GO,46.07499866043736
11,Ceará,45.221535063666856
12,Santos,44.70221092910344
13,Cuiabá,41.271918546688475
14,Juventude,41.265281846420976
15,Bahia,40.964999706918924
16,América-MG,39.31223641101376
17,Grêmio,39.27949132014868
18,Sport,37.647402712828736
19,Chapecoense,27.716131879553174
