,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Fluminense,Juventude,1.62,3.64,5.79
1,São Paulo,Palmeiras,3.05,3.12,2.45
2,Internacional,Cuiabá,1.71,3.42,5.5
3,Bragantino,Grêmio,2.03,3.35,3.77
4,Atlético-MG,Athletico-PR,1.69,3.58,5.42
5,Corinthians,Flamengo,4.51,3.72,1.77
6,Bahia,Sport,1.85,3.46,4.33
7,Chapecoense,Santos,3.73,3.44,2.01
8,Atlético-GO,América-MG,2.44,3.0,3.17
9,Ceará,Fortaleza,2.85,3.12,2.57
