,atleta_id,apelido,ranking
0,94583,Pedro,1
1,89898,Róger Guedes,2
2,102878,Terans,3
3,39148,Hulk,4
4,89274,Andreas Pereira,5
5,38750,Filipe Luís,6
6,103099,Éderson,7
7,84863,Alberto Valentim,8
8,96468,Daniel,9
9,38398,Renato Augusto,10
10,96725,Saravia,11
11,73800,Rodrigo Caio,12
12,100652,Yuri Alberto,13
13,83433,Patrick,14
14,101727,Matheuzinho,15
15,41929,Renato Gaúcho,16
16,103700,Bruno Méndez,17
17,79113,Víctor Cuesta,18
18,95799,Artur,19
19,99392,Michael,20
