,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,2,62.47162499999999,1,55.68199999999998,3,69.26125,1
1,0,58.62070707070707,2,64.73777777777778,1,52.50363636363637,4
2,9,52.6745,3,44.029,10,61.32,2
3,4,51.18378787878788,4,48.10090909090909,5,54.266666666666666,3
4,1,48.895681818181814,5,56.565,2,41.22636363636363,9
5,11,47.183181818181815,6,43.53,12,50.83636363636363,5
6,7,42.143,7,46.517,8,37.769,10
7,13,42.04600000000001,8,39.742,14,44.35000000000001,7
8,16,40.944611111111115,9,32.727,17,49.162222222222226,6
9,6,40.93015151515152,10,46.53363636363636,7,35.326666666666675,12
10,10,39.98287878787879,11,43.806666666666665,11,36.15909090909091,11
11,3,39.856500000000004,12,49.211000000000006,4,30.502,19
12,5,39.812,13,47.154,6,32.47,16
13,12,38.30361111111111,14,42.535,13,34.07222222222222,13
14,8,37.900606060606066,15,45.116666666666674,9,30.684545454545457,18
15,19,36.48755555555556,16,29.00111111111111,20,43.974000000000004,8
16,14,36.19118181818182,17,38.73636363636364,15,33.646,14
17,17,31.854393939393937,18,32.19333333333333,18,31.515454545454546,17
18,15,31.429747474747472,19,37.63727272727273,16,25.222222222222218,20
19,18,31.301227272727274,20,29.727000000000004,19,32.875454545454545,15
