,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Flamengo,84.36166666666665,1,82.39833333333333,1,65.455,1
1,Atlético-MG,67.21833333333333,2,65.03833333333334,4,56.18166666666667,2
2,Santos,59.343333333333334,3,55.10666666666666,10,43.01833333333334,4
3,Corinthians,54.419999999999995,4,65.98333333333333,2,29.293333333333333,17
4,Bahia,52.56333333333333,5,59.27166666666667,6,42.945,5
5,Palmeiras,51.254999999999995,6,59.76166666666666,5,42.41833333333333,6
6,Fluminense,49.54666666666666,7,55.20166666666666,9,37.291666666666664,10
7,Ceará,49.035000000000004,8,55.87166666666667,7,41.90833333333334,7
8,América-MG,47.10833333333333,9,54.94499999999999,11,39.86333333333334,8
9,Sport,46.41833333333333,10,65.76333333333334,3,29.965000000000003,15
10,Juventude,44.85833333333333,11,50.56666666666667,13,33.33,14
11,Cuiabá,43.29,12,48.745,14,37.45333333333333,9
12,Atlético-GO,42.745000000000005,13,48.23499999999999,15,36.291666666666664,13
13,Bragantino,38.43666666666667,14,47.89166666666666,16,36.455,11
14,Grêmio,38.31,15,55.61833333333333,8,20.436666666666667,20
15,São Paulo,36.818333333333335,16,41.85166666666667,18,29.47333333333334,16
16,Internacional,35.89166666666667,17,51.92666666666667,12,25.256666666666664,19
17,Athlético-PR,34.03666666666667,18,34.10833333333334,19,45.473333333333336,3
18,Fortaleza,25.456666666666667,19,47.00333333333333,17,36.455,11
19,Chapecoense,20.801666666666666,20,27.638333333333335,20,29.146666666666665,18
