,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,68,49,21,28,9,1
1,Flamengo,59,58,26,32,13,2
2,Palmeiras,55,50,38,12,9,3
3,Corinthians,50,35,32,3,9,4
4,Fortaleza,49,40,41,-1,1,5
5,Bragantino,48,46,39,7,3,6
6,Internacional,46,40,34,6,6,7
7,Ceará,44,33,30,3,12,8
8,América-MG,44,35,34,1,10,9
9,Fluminense,44,30,31,-1,6,10
10,Athlético-PR,40,37,41,-4,6,11
11,Atlético-GO,39,23,28,-5,2,12
12,São Paulo,39,26,33,-7,7,13
13,Santos,39,28,36,-8,10,14
14,Cuiabá,38,29,30,-1,7,15
15,Juventude,38,31,36,-5,10,16
16,Bahia,35,32,42,-10,4,17
17,Sport,33,21,30,-9,6,18
18,Grêmio,29,28,39,-11,6,19
19,Chapecoense,15,26,56,-30,2,20
