,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,75,55,24,31,10,1
1,Flamengo,65,62,28,34,12,2
2,Palmeiras,59,55,42,13,4,3
3,Corinthians,56,39,34,5,9,4
4,Bragantino,52,50,40,10,7,5
5,Fortaleza,52,41,43,-2,3,6
6,Fluminense,50,34,33,1,9,7
7,Ceará,48,37,34,3,10,8
8,Internacional,47,42,38,4,4,9
9,América-MG,45,36,37,-1,5,10
10,Santos,43,31,39,-8,8,11
11,São Paulo,42,28,33,-5,6,12
12,Atlético-GO,40,24,29,-5,3,13
13,Athlético-PR,40,37,42,-5,0,14
14,Cuiabá,39,30,33,-3,4,15
15,Bahia,39,35,43,-8,4,16
16,Juventude,38,31,38,-7,6,17
17,Sport,33,21,35,-14,3,18
18,Grêmio,32,32,43,-11,6,19
19,Chapecoense,15,27,59,-32,0,20
